<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27695.19
2;TUCURUI;49526.5456
3;BELO MONTE;2244.740716
4;JIRAU;1595.157909
5;STO ANTONIO;2282.8
6;I. SOLTEIRA;18982.134
7;XINGO;3762.056
8;P.AFONSO 4;117.95085
9;ITUMBIARA;12983.1862
10;TELES PIRES;897.22
11;SAO SIMAO;10836.45
12;G.B. MUNHOZ;3744.847
13;JUPIA;3310.18925
14;P. PRIMAVERA;15707
15;MARIMBONDO;3103.408
16;ITAPARICA;10217.1584
17;ITA;4722.71609
18;SLT.SANTIAGO;3861.7621
19;P.AFONSO 123;16.2
20;A. VERMELHA;7917.9141
21;FURNAS;16896.5028
22;SERRA MESA;27412
23;SEGREDO;2662.6084
24;SALTO CAXIAS;3397.811736
25;EMBORCACAO;10283.08
26;MACHADINHO;2671.4475
27;LC BARRETO;1275.730875
28;ESTREITO TOC;5142.415536
29;SALTO OSORIO;1093.590551
30;SOBRADINHO;30735.9249
31;LAJEADO;4955.333931
32;CAMPOS NOVOS;1355.2308
33;TRES IRMAOS;12016.8879
34;BARRA GRANDE;3091.997244
35;CACH.DOURADA;429.605535
36;MOXOTO;1117.276
37;TRES MARIAS;18386.7334
38;PIMENTAL;2294.664
39;CHAVANTES;6715.8683
40;ROSANA;1820.76278
41;TAQUARUCU;665.075137
42;CAPIVARA;6398.1136
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;487.1875
47;LAJES;267.214
48;PARAIBUNA;3382.1044
49;SANTA BRANCA;293.1312
50;JAGUARI;1036.0847
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;6.557
58;CORUMBÁ IV;3522.16974
59;CORUMBÁ III;757.5235
60;CORUMBÁ I;1343.234
61;BATALHA;1592.121288
62;SERRA DO FACÃO;3629.9256
63;NOVA PONTE;7764.966
64;MIRANDA;1082.68272
65;AMADOR AGUIAR I;230.541076
66;AMADOR AGUIAR II;869.6884
67;ESPORA;201.6509
68;SALTO;1148.230744
69;SALTO DO RIO VERDINHO;392.89134
70;CAÇU;227.8232
71;BARRA DOS COQUEIROS;336.353904
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;790.3872
74;ITUTINGA;11.21
75;FUNIL - GRANDE;268.93
76;MASCARENHAS DE MORAES;3671.5
77;JAGUARA;450
78;IGARAPAVA;227.23
79;VOLTA GRANDE;2084.942
80;PORTO COLÔMBIA;1396.0283
81;CACONDE;471.846377
82;E. DA CUNHA;13.34
83;A. S. OLIVEIRA;22.562568
84;SÃO DOMINGOS;117.674675
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;2780.892
92;BARIRI;517.313476
93;IBITINGA;961.756875
94;PROMISSÃO;6529.36329
95;N.AVANHANDAVA;2711.0778
96;HENRY BORDEN;1
97;JURUMIRIM;5059.063466
98;PIRAJU;114.09
99;OURINHOS;22.34
100;L. N. GARCEZ;42.068992
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1669.876
104;SANTA CLARA - PR;390.3114
105;FUNDÃO;30.6
106;JORDÃO;110
107;BAIXO IGUAÇU;202.924392
108;MANSO;6240.9986
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;100.63536
112;JAURU;17.15
113;PASSO FUNDO;790.089215
114;MONJOLINHO;142.343548
115;GARIBALDI;261.94048
116;QUEBRA-QUEIXO;130.60964
117;SÃO JOSÉ;176.973544
118;PASSO S. JOÃO;90.50029
119;FOZ DO CHAPECÓ;1450.176884
120;ERNESTINA;163.5
121;PASSO REAL;1848.9244
122;JACUÍ;23.6342
123;ITAÚBA;598.46898
124;DONA FRANCISCA;303.655984
125;CASTRO ALVES;91.766
126;MONTE CLARO;11.35
127;14 DE JULHO;55.18
128;SALTO PILÃO;0.1189
129;CAPIVARI-CACHOEIRA;75.65
130;ROSAL;17
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.8
133;CANDONGA;19.4
134;BAGUARI;38.07
135;AIMORÉS;184.65
136;MASCARENHAS;24.43
137;SALTO GRANDE;78
138;PORTO ESTRELA;89.04
139;SANTA CLARA - MG;146
140;IRAPÉ;5189.176854
141;ITAPEBI;1629.517232
142;PEDRA DO CAVALO;114.5
143;RETIRO BAIXO;220.770822
144;QUEIMADO;515.581025
145;BOA ESPERANÇA;4990.7384
146;CANA BRAVA;2278.9642
147;SÃO SALVADOR;931.190327
148;PEIXE ANGICAL;2546.512614
149;DARDANELOS;0.12
150;RONDON II;421.008776
151;GUAPORÉ;21.575685
152;SAMUEL;3060.159321
153;BALBINA;16239.52831
154;SANTO ANTÔNIO JARI;133.39
155;SINOP;2221.32736
156;COLÍDER;1515.755104
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;602
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;138.8
161;FERREIRA GOMES;120.4
162;FONTES BC;37.2
</END>;;
