<BEGIN>;Coefficients ($/hm3) and RHS ($) -- alpha + coef*v...>= RHS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cut (j);CAMARGOS;ITUTINGA;FUNIL - GRANDE;FURNAS;MASCARENHAS DE MORAES;LC BARRETO;JAGUARA;IGARAPAVA;VOLTA GRANDE;PORTO COLÔMBIA;CACONDE;E. DA CUNHA;A. S. OLIVEIRA;MARIMBONDO;A. VERMELHA;BATALHA;SERRA DO FACÃO;EMBORCACAO;NOVA PONTE;MIRANDA;AMADOR AGUIAR I;AMADOR AGUIAR II;CORUMBÁ IV;CORUMBÁ I;ITUMBIARA;CACH.DOURADA;SAO SIMAO;I. SOLTEIRA;BARRA BONITA;BARIRI;IBITINGA;PROMISSÃO;N.AVANHANDAVA;TRES IRMAOS;JUPIA;P. PRIMAVERA;JURUMIRIM;PIRAJU;CHAVANTES;L. N. GARCEZ;CANOAS II;CANOAS I;MAUÁ;CAPIVARA;TAQUARUCU;ROSANA;ITAIPU;SANTA CLARA - PR;FUNDÃO;JORDÃO;G.B. MUNHOZ;SEGREDO;SLT.SANTIAGO;SALTO OSORIO;SALTO CAXIAS;BAIXO IGUAÇU;BARRA GRANDE;GARIBALDI;CAMPOS NOVOS;MACHADINHO;ITA;PASSO FUNDO;MONJOLINHO;QUEBRA-QUEIXO;CASTRO ALVES;MONTE CLARO;14 DE JULHO;SÃO JOSÉ;PASSO S. JOÃO;FOZ DO CHAPECÓ;EDGARD DE SOUZA;TRAIÇÃO;PEDREIRA;ERNESTINA;PASSO REAL;JACUÍ;ITAÚBA;DONA FRANCISCA;CAPIVARI-CACHOEIRA;GUARAPIRANGA;BILLINGS;HENRY BORDEN;JAGUARI;PARAIBUNA;SANTA BRANCA;FUNIL;LAJES;SANTA CECÍLIA;PICADA;SOBRAGI;SIMPLÍCIO;ILHA DOS POMBOS;NILO PEÇANHA;PEREIRA PASSOS;SALTO GRANDE;PORTO ESTRELA;CANDONGA;BAGUARI;AIMORÉS;MASCARENHAS;IRAPÉ;SÃO DOMINGOS;ITAPEBI;RETIRO BAIXO;TRES MARIAS;QUEIMADO;SOBRADINHO;ITAPARICA;MOXOTO;P.AFONSO 123;P.AFONSO 4;XINGO;TOCOS;SANTANA;VIGARIO;FONTES;FONTES BC;PEDRA DO CAVALO;BOA ESPERANÇA;GUILMAN-AMORIM;SÁ CARVALHO;JAURU;GUAPORÉ;CORUMBÁ III;CACHOEIRA CALDEIRÃO;SALTO PILÃO;ROSAL;SINOP;COLÍDER;TELES PIRES;SÃO MANOEL;SALTO DO RIO VERDINHO;OURINHOS;SERRA MESA;CANA BRAVA;SÃO SALVADOR;PEIXE ANGICAL;LAJEADO;SALTO;ESTREITO TOC;CURUÁ-UNA;TUCURUI;RONDON II;BALBINA;MANSO;SAMUEL;COARACY NUNES;PONTE PEDRA;SANTA CLARA - MG;FERREIRA GOMES;JIRAU;SANTO ANTÔNIO JARI;STO ANTONIO;BELO MONTE;ESPORA;ITIQUIRA I;ITIQUIRA II;DARDANELOS;CAÇU;BARRA DOS COQUEIROS;PIMENTAL;FOZ DO RIO CLARO;RHS ($)
1;194671.0993;188512.4135;180653.1962;171228.0261;147205.227;134668.6335;116220.2906;103962.7393;98966.3843;90809.25112;136706.6206;112637.5386;90923.24922;88133.33852;71944.50118;161703.1742;154008.8717;137874.572;184206.4521;159134.0193;141158.8089;119731.0956;152323.0135;126180.2751;107209.624;85939.10472;78024.17621;57188.11616;87071.44138;81863.52563;76425.88169;73015.75303;65984.63292;57063.72701;43196.68156;36332.0485;111576.8853;103007.6005;95836.60137;71510.32276;66518.4988;62112.44854;145616.46;57673.29715;45144.46883;37070.04843;33631.66018;166479.7252;137403.5149;108744.1533;143859.4405;109845.3476;74907.48451;44477.04222;19743.40744;0;1267768.624;1292852.412;1279467.934;1226109.315;347961.9369;116717.7143;34979.39999;35785.65387;44361.46676;20457.67399;9559.80144;14059.77118;8244.747823;15544.59007;85667.04997;86532.08963;180205.3438;50891.85974;51576.91788;40839.90908;37419.79042;9809.430941;223110.1585;107295.7393;180106.2555;197769.2718;62057.34076;77372.95869;51596.06643;28302.62509;29147.14815;9043.519694;40407.34034;18735.47816;8276.957456;5844.208553;18882.23676;-3630.191461;47699.05445;33036.69109;17152.42163;17141.48793;12447.64317;4989.37623;70732.27614;42420.56967;24868.84446;36900.899;27206.31987;77085.68661;2222.54723;-5329.740727;-20717.98408;-27345.76445;-20717.98408;-55704.52862;27445.26823;3471.740542;18881.93478;31150.54144;18881.93478;119121.1626;10510.53747;60856.16763;34970.45391;29533.74118;49639.49931;134901.5923;6021.281361;43066.7663;3654.727247;9801.498853;2843.24685;2843.434592;-624.3553779;63573.60518;74708.64411;85921.5783;46147.11837;33297.04688;27869.06172;19642.01645;75582.51976;12429.77478;202.7202324;10504.64624;10123.62383;5442.601429;16251.3982;5057.37845;3021.901365;1275.626922;14026.59585;3032.238026;-2151.569928;4430.385759;-1119.115644;20212.65125;69091.64499;21103.27002;10779.0816;-261.5038819;76525.74417;68465.9337;20211.9412;61336.72499;96793998243
2;188574.7207;182726.0381;175407.5876;166475.4188;143586.7536;131342.0173;113460.2958;101200.76;96352.01723;88433.53342;132746.4637;109267.7867;88248.21928;85292.02322;69717.9717;157433.0736;149851.4557;134051.8386;179046.9284;154375.7467;137064.3676;116294.6654;147977.1288;122598.6776;104103.3051;83435.21185;75711.48362;55523.73068;84529.6967;79496.4947;74245.68797;70971.11357;64172.71236;55485.57339;41966.02765;35193.47182;108449.0574;100075.6268;93059.42983;69349.01807;64501.57795;60228.22877;89906.31964;55885.67153;43703.70782;35900.82617;32549.90971;160579.3664;132312.4074;105066.3533;139227.9042;106381.6561;72582.42127;42950.31225;19100.7894;0;123856.4686;146782.8353;133531.6815;79409.42141;45586.10981;113661.4443;33795.55551;33708.11996;42898.516;19783.86435;9243.70767;13582.77623;7965.576662;14985.85487;83168.78841;84008.59578;174688.4561;50503.85188;50051.58296;39232.46301;36177.3009;9482.102518;215048.1919;103597.7187;174592.4014;191308.899;60163.05436;75336.95265;50402.70356;27623.61988;26816.95513;9003.446538;39398.49579;18364.65072;8173.953539;5683.886893;17921.30319;-3957.991701;46087.10141;31899.13405;16567.2762;16556.71641;12021.88128;4815.469337;68893.78171;41037.10936;23960.34231;17922.58615;8580.527944;69624.39258;-2217.10976;-9273.102024;-24040.83844;-30452.11643;-24040.83844;-57868.00277;25164.21812;3014.199628;17921.00121;28887.32673;17921.00121;32106.04283;10313.27999;58802.39903;33764.42789;28576.80861;48051.91384;131022.8898;5825.426405;41749.10471;3575.366962;13941.42976;5096.463852;5096.573477;11.03653116;61591.57672;72465.58515;83930.31601;45630.40396;33178.77565;28234.14757;19774.0022;73189.89649;12281.72096;443.3065516;10490.62604;9819.381683;5306.227873;15782.35281;5128.75493;2921.665416;1282.141757;13574.75434;2931.669228;-2082.690593;4308.638211;-1083.288419;19624.10497;66764.3464;20692.17441;10717.15942;-253.1395406;74100.94087;66345.61229;19623.47426;59478.12391;80842407108
3;189166.408;183201.0366;175641.3092;166534.9592;143325.4333;131197.5094;113325.9957;101158.2189;96315.73146;88404.05124;132804.3295;109321.1221;88297.24715;85338.07799;69738.92369;157507.7888;149919.7104;134120.2054;179136.341;154424.2684;137079.2002;116353.5176;148052.6935;122655.1703;104157.0956;83486.29334;75751.65455;55500.02436;84541.95064;79507.32974;74255.40714;70938.99957;64137.03965;55453.18124;41957.01458;35191.9886;108502.0229;100122.8574;93105.64844;69387.88259;64541.96704;60268.22067;90179.61948;55922.51352;43730.42798;35912.27293;32550.08084;160614.1931;132357.2042;105121.7318;139285.9943;106371.2968;72612.83747;42974.63834;19096.15363;0;124599.5248;148006.6926;134600.1964;82486.11944;45584.00848;113713.092;33789.71028;34523.0085;42889.79569;19781.66883;9244.120268;13582.16906;7965.259595;14983.59962;83181.39422;84021.32893;174769.7483;49572.63972;50234.86737;39844.01561;36178.33055;9487.316508;215126.0785;103583.038;174673.6489;191276.7097;60191.2607;75365.69996;50434.15901;27643.60417;44157.22231;9020.984889;39430.73898;18386.52403;8187.970836;5685.343432;31829.45952;9890.909888;46095.64469;31890.30783;16568.03563;16557.47536;12021.87612;4816.076866;68914.59893;41039.42226;23961.90359;31900.09925;22553.27237;69674.86758;-2193.104167;-9255.724468;-24021.8886;-30432.08931;-24021.8886;-57842.48867;41235.79861;16924.86415;31829.15754;45698.7042;31829.15754;53645.31752;10309.7812;58806.69601;33762.41659;28578.41997;48054.86599;131081.8835;5824.987765;41750.02351;3576.699796;12636.41762;4201.198122;4201.32086;-80.60899006;61610.20081;72505.31105;83956.54688;45637.02952;33186.93565;28233.39472;19778.99958;73210.16149;12287.08843;442.9821635;10497.83629;9818.9146;5307.562209;15787.32619;5146.911698;2921.603119;1282.424334;13565.0453;2931.606725;-2082.811918;4307.676621;-1083.351526;19622.79623;66998.03002;20678.83834;10708.78014;-253.1542738;74117.74809;66364.23188;19622.11632;59495.5491;81282322779
4;189010.7482;183095.8352;175632.3421;166531.3457;143353.5179;131231.2145;113354.2822;101180.3119;96336.32546;88420.81979;132804.178;109325.2569;88296.48647;85342.19543;69741.85433;157499.0791;149913.3182;134114.3995;179127.7991;154436.5967;137083.6049;116346.4205;148046.381;122649.767;104150.4765;83478.42626;75748.30655;55501.25832;84542.73287;79507.08081;74253.97661;70946.61221;64142.89396;55456.71292;41954.18402;35192.01302;108495.9945;100117.48;93099.35305;69382.17552;64534.4965;60260.14235;90056.48676;55917.15158;43731.00884;35913.05194;32553.9196;160637.5429;132363.048;105123.3369;139293.0117;106370.8998;72604.21447;42959.64961;19099.92907;0;124513.9473;147851.707;134464.7612;82210.50589;45593.11675;113717.8418;33796.46799;34518.49762;42901.95502;19786.50249;9246.474228;13584.78725;7967.083032;14987.94394;83181.9762;84021.91679;174774.2188;49571.30107;50233.89081;39841.39363;36186.51725;9490.756259;215184.6855;103612.818;174678.117;191311.0826;60190.02454;75363.04162;50422.52742;27630.46226;26856.84749;9005.484635;39426.27374;18375.46197;8174.237212;5686.984091;17949.30363;-3954.242713;46104.75963;31903.19809;16572.2538;16561.69083;12025.4044;4817.08999;68915.87717;41039.41391;23962.98712;18006.13695;8657.473827;69648.8208;-2206.249346;-9271.163543;-24040.68947;-30452.04212;-24040.68947;-57867.68004;25202.49456;3042.02992;17949.00164;28923.02676;17949.00164;32099.6082;10312.34041;58818.3087;33770.03969;28587.95752;48067.41489;131079.014;5826.725224;41758.43131;3577.385006;13938.23859;5095.934349;5096.043975;10.16039053;61611.87213;72499.91126;83957.03448;45644.16516;33192.10258;28245.87675;19785.79504;73214.75047;12293.65452;443.3873467;10505.68297;9823.473862;5307.951304;15788.19186;5131.392386;2922.274499;1282.11068;13568.65858;2932.280334;-2083.481532;4309.278751;-1083.699822;19628.89518;67001.3392;20690.87426;10716.75976;-253.235588;74125.53181;66367.12618;19628.25541;59496.69717;80866809621
5;188991.2062;183076.0911;175613.9914;166513.9668;143335.7282;131214.4368;113339.8466;101168.6507;96325.29345;88411.2377;132790.3945;109313.0614;88287.45544;85331.44149;69732.19738;157484.56;149898.0076;134101.0453;179109.5108;154416.1536;137063.5473;116333.0488;148031.4158;122637.6543;104139.5941;83468.6513;75738.22106;55492.70825;84534.20888;79499.27913;74246.98871;70938.04424;64135.1004;55449.08415;41947.60061;35187.02371;108485.3041;100107.1356;93090.48344;69376.10642;64529.14775;60255.19915;90046.50548;55912.55108;43728.64953;35908.11136;32549.40884;160624.5637;132350.1825;105110.5929;139277.1922;106357.6542;72596.76782;42955.66976;19097.80638;0;124469.3348;147754.0767;134407.3286;82099.90468;45588.11978;113708.2442;33793.16203;34392.47304;42897.04667;19784.4755;9245.126992;13582.5609;7965.842177;14986.37875;83173.56615;84013.42179;174757.9685;50516.30425;50068.45806;39248.17231;36176.42685;9482.846917;215157.7941;103605.7645;174661.8756;191290.446;60186.0905;75358.15044;50418.6456;27627.28145;26849.4764;9004.866386;39418.63428;18372.26402;8173.704503;5685.870271;17939.2841;-3955.946869;46096.00961;31898.88753;16569.315;16558.75391;12023.17616;4816.041028;68909.69126;41033.24177;23961.15313;31882.71762;22535.52148;69654.67249;-2205.922947;-9269.631591;-24037.39191;-30448.05198;-24037.39191;-57861.64696;25194.30304;3033.618405;17938.98212;28914.68679;17938.98212;32096.57025;10312.06399;58808.76303;33765.49365;28584.40968;48059.50085;131064.9824;5826.440737;41751.22554;3575.821207;13936.66485;5094.456425;5094.56605;10.34824105;61602.46579;72493.37986;83951.01314;45636.49839;33186.03687;28240.19821;19780.89052;73202.49928;12288.92806;444.254542;10500.00066;9820.932799;5307.564963;15786.53476;5129.183244;2922.126849;1281.733991;13568.47551;2932.132194;-2083.121993;4308.993537;-1083.51281;19627.85189;66988.88086;20688.44793;10715.56154;-253.1919276;74110.4616;66354.09311;19627.21988;59486.60751;81162865260
6;189027.2314;183111.7323;175647.0971;166545.4728;143420.4042;131309.3508;113425.2617;101222.4394;96374.0042;88455.5426;132819.4161;109334.6647;88304.261;85356.53928;69753.62983;157511.0823;149925.9612;134125.5814;179143.5249;154448.9083;137094.3669;116358.8673;148059.2937;122665.1702;104164.9786;83493.51154;75763.2095;55510.24986;84551.58327;79515.06983;74261.50484;70954.26058;64149.50231;55462.95412;41960.38164;35199.7454;108505.5458;100128.0313;93110.19938;69395.1056;64547.78188;60272.36542;90070.22824;55929.75754;43743.43759;35920.36282;32559.69644;160644.8909;132384.985;105137.9481;139311.3363;106382.5252;72617.06396;42969.55503;19106.12866;0;124298.1985;147471.6763;134132.635;81463.9884;45605.25848;113717.3486;33805.78908;34348.28934;42913.73792;19792.35978;9248.607513;13588.78828;7969.303641;14991.04531;83190.64341;84030.66659;174775.7998;50544.58247;50168.10817;39596.55914;36189.87766;9486.920898;215178.1066;103601.4009;174679.6971;191370.6389;60192.64367;75366.80485;50432.38603;27643.58005;42983.04761;9014.741654;39437.72588;18385.32018;8183.690522;5687.107557;31819.80388;9895.371877;46110.98142;31910.53083;16575.34794;16564.783;12027.24131;4817.894007;68920.90133;41048.77744;23968.56554;18035.68984;8683.201283;69671.95519;-2195.717699;-9260.584396;-24033.57374;-30446.92128;-24033.57374;-57870.57715;40686.12836;16907.88954;31819.5019;44839.63016;31819.5019;32100.74967;10311.71578;58827.62754;33773.88607;28593.25783;48073.89962;131092.5288;5825.909579;41772.4432;3575.840714;12825.79668;4358.964984;4359.087722;-75.8284819;61620.07697;72512.70656;83958.46992;45649.98804;33194.58107;28241.38503;19782.83797;73223.11444;12289.72687;444.0339318;10500.94507;9820.381724;5307.90177;15789.75128;5144.071695;2921.979956;1282.415021;13573.60246;2931.984813;-2083.751244;4309.090559;-1083.840111;19626.59928;67004.28665;20686.98019;10713.38543;-253.2683405;74130.43702;66372.98209;19625.91948;59504.34222;80883745034
7;188918.8729;183010.9252;175556.467;166543.9296;143674.0773;131428.6151;113536.0683;101292.4946;96441.53588;88518.7715;132844.7357;109368.2596;88333.01124;85400.12478;69796.63633;157497.0615;149913.9645;134114.8995;179128.1471;154455.2891;137119.0027;116350.5107;148048.9141;122657.0915;104155.709;83482.55118;75757.70612;55578.72985;84602.24688;79565.23635;74310.46234;71030.83747;64227.49522;55536.29785;42014.92692;35245.68352;108495.3804;100118.6741;93101.64363;69390.3508;64542.86099;60266.54963;89996.90958;55931.74384;43755.92636;35933.32946;32571.2327;160637.7797;132374.4207;105111.8312;139295.6448;106430.6614;72602.62784;42941.77779;19112.70984;0;124065.4724;147079.6942;133756.7806;80631.16039;45615.68962;113711.2369;33816.49457;34269.31292;42930.41603;19799.22509;9251.208457;13593.60109;7972.155157;14995.48457;83240.30667;84080.83646;174760.7149;49882.93983;50217.48191;39780.30818;36208.8713;9496.688763;215195.9012;103667.8032;174664.6204;191434.2986;60186.18088;75360.16145;50419.85659;27635.22739;26856.30742;9001.628823;39430.43337;18374.08736;8171.762984;5688.37708;17957.05032;-3949.572356;46123.1645;31923.77887;16580.09196;16569.52398;12030.86734;4819.014236;68919.98417;41095.57311;23968.8574;31878.95261;22524.39215;69633.52703;-2220.279827;-9287.895865;-24066.093;-30481.57445;-24066.093;-57914.82467;25198.51611;3040.175615;17956.74834;28924.64874;17956.74834;53660.96693;10312.80556;58844.31105;33783.35121;28603.182;48089.82514;131086.7895;5826.985743;41783.58856;3575.896213;13343.01944;4736.082792;4736.197617;-46.41834933;61661.37366;72507.97585;83954.74419;45661.99352;33202.09432;28252.70399;19790.02636;73268.81366;12295.72507;444.2366042;10507.25745;9824.478118;5307.876068;15790.37215;5137.647962;2922.48057;1282.746049;13579.26187;2932.487089;-2084.46265;4310.536682;-1084.210145;19630.22426;66833.31759;20696.82933;10718.60925;-253.3547298;74178.77075;66415.54218;19629.56062;59544.19714;81260684391
8;188924.4575;183015.3366;175560.611;166545.7249;143459.7713;131351.6501;113460.406;101238.3921;96387.84113;88466.44693;132816.8722;109336.5896;88300.69581;85363.30351;69757.35234;157503.4618;149920.6007;134121.7155;179136.3603;154464.9995;137123.0881;116356.4395;148055.1129;122663.1013;104162.5662;83489.30028;75762.22627;55517.84855;84560.03326;79522.85926;74268.27642;70970.58461;64164.07653;55475.52162;41961.59912;35204.3782;108499.8371;100122.353;93105.32272;69392.95181;64544.73443;60268.33804;89996.28233;55929.71981;43749.10216;35926.40448;32565.66594;160642.0269;132374.5385;105113.452;139298.0814;106433.0592;72605.77297;42946.38994;19111.36823;0;124129.7005;147180.0481;133864.0515;80851.49548;45615.1836;113716.9511;33814.66201;34266.0363;42927.81546;19797.83672;9250.602531;13592.36565;7971.542258;14994.98251;83198.55982;84038.66792;174151.9637;50498.7261;50207.82083;39742.5109;36207.41612;9495.806688;215200.2896;103628.1475;174676.2967;191420.57;60190.53045;75364.35874;50422.31478;27634.77479;26859.37434;9001.40088;39432.38788;18375.23209;8172.023451;5688.487569;17956.89489;-3950.031147;46122.1761;31921.65162;16579.34835;16568.78085;12030.26416;4819.000647;68922.60712;41054.23369;23972.11074;18028.95798;8674.832698;69651.34797;-2207.2158;-9274.397416;-24051.84185;-30466.86271;-24051.84185;-57899.7999;25202.50168;3041.089923;17956.59291;28926.48829;17956.59291;32109.78492;10313.23003;58842.60067;33782.82818;28601.93731;48088.15693;131091.8907;5826.830682;41782.1776;3576.994215;13429.52542;4792.41195;4792.526775;-6.281635958;61621.70641;72510.92007;83958.72786;45661.0383;33203.04364;28252.39213;19790.74157;73228.52343;12296.0736;444.2885564;10507.63492;9827.622744;5308.079539;15790.71359;5136.226346;2922.309238;1282.53096;13578.16819;2932.315189;-2084.368139;4310.17583;-1084.160986;19630.04439;66795.17228;20697.06996;10719.30217;-253.343253;74138.71752;66375.91928;19629.38388;59504.77084;80861058942
9;188923.6403;183014.9522;175560.5676;166547.2135;143661.1551;131411.3677;113518.6547;101280.446;96429.49092;88507.3388;132849.3406;109370.4518;88334.52824;85398.41457;69791.91865;157502.143;149919.0018;134119.2311;179134.1612;154465.9189;137123.4984;116352.6306;148052.7111;122659.5182;104156.1413;83480.7869;75753.20612;55561.28967;84597.10423;79559.86841;74305.14129;71016.25019;64210.34039;55519.85823;42000.84924;35239.10714;108498.9737;100121.4123;93104.09474;69391.04715;64542.42568;60266.16472;90070.43217;55930.28958;43753.30435;35930.65893;32568.11486;160671.6799;132400.8171;105143.8361;139323.2915;106387.3321;72610.84176;42952.94994;19113.47603;0;124133.1188;147184.9707;133871.778;80857.18984;45618.68164;113719.9242;33817.27523;34268.69754;42929.44346;19799.04406;9251.194826;13592.78033;7971.732271;14995.97645;83235.20889;84075.68718;174775.1875;49616.29131;50231.04184;39823.19162;36209.32264;9496.545254;215225.0563;103664.6167;174679.0851;191439.4944;60190.52907;75363.89045;50423.11841;27635.65447;44142.71273;9001.919734;39435.36435;18376.64536;8172.646615;5689.018773;31821.98404;9899.128176;46125.27485;31923.85743;16580.40065;16569.83248;12031.04623;4819.04161;68922.54834;41088.78283;23968.50741;31885.67238;22533.58602;69650.72505;-2205.078463;-9272.727275;-24051.25714;-30466.91221;-24051.25714;-57900.6554;41225.51259;16904.70448;31821.68206;45694.50804;31821.68206;32112.32996;10313.95962;58845.73451;33784.42119;28604.42229;48091.28338;131089.6107;5827.594073;41780.25632;3576.696905;13870.12929;5089.648076;5089.757701;7.493239997;61655.81687;72509.28409;83958.38346;45659.98461;33201.38442;28253.0814;19789.43264;73263.40563;12294.59627;444.3657803;10505.54895;9824.87678;5308.16562;15791.01788;5132.687656;2922.680791;1282.547148;13578.91074;2932.687975;-2084.54201;4310.774871;-1084.251424;19632.30515;67041.55455;20698.70352;10720.67027;-253.364367;74175.0274;66410.73252;19631.66538;59538.97106;81194336430
10;189020.728;183105.4424;175640.73;166542.0128;143427.2761;131315.8455;113430.2915;101225.3191;96376.55169;88457.07924;132815.2175;109333.4885;88301.03284;85356.7646;69753.31955;157505.4533;149921.3452;134122.0047;179137.3416;154457.7709;137100.6118;116353.4642;148055.137;122660.7677;104159.8514;83488.14431;75760.75093;55508.67366;84551.39662;79514.48951;74260.43392;70956.5232;64150.9118;55463.06983;41957.42983;35197.46443;108500.8942;100122.5124;93104.99236;69390.21226;64542.46481;60266.93454;90066.03205;55925.88446;43742.33356;35919.56746;32559.65989;160654.0207;132386.3184;105136.5364;139311.5823;106379.8402;72612.18332;42963.21638;19107.63749;0;124273.5208;147424.2101;134105.6323;81377.53281;45607.82569;113719.902;33808.49571;34257.77524;42919.57477;19794.30919;9249.292413;13589.14936;7969.518938;14992.13499;83190.32627;84030.35641;174778.5993;49610.02241;50232.06278;39827.77188;36199.80758;9493.514422;215201.816;103620.3389;174682.495;191384.4054;60192.68158;75366.40092;50423.9998;27632.60028;26859.89192;9002.96413;39428.754;18374.93442;8172.610068;5687.697672;17954.81895;-3952.026038;46114.05766;31914.01931;16576.21321;16565.64771;12028.01732;4818.095497;68921.61587;41046.29802;23970.0343;31892.81014;22540.67726;69659.49652;-2200.650232;-9266.134298;-24040.59307;-30454.40196;-24040.59307;-57881.43202;25204.08726;3041.831925;17954.51696;28926.93142;17954.51696;32106.66248;10312.98273;58830.42323;33775.96585;28596.04291;48078.79823;131089.9231;5826.426362;41772.39688;3576.434253;13576.75996;4855.581407;4855.696232;-4.006590685;61619.30212;72507.95813;83960.04688;45656.46205;33200.45989;28249.43077;19789.16162;73224.08326;12295.44357;444.2328911;10507.18253;9827.646186;5308.093219;15789.98894;5134.572655;2922.097528;1282.402201;13575.05829;2932.102775;-2083.94818;4309.659957;-1083.942546;19628.44704;67004.19899;20694.13947;10718.03086;-253.2922553;74134.33753;66373.31989;19627.78758;59503.44794;81163834877
