<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27695.19
2;TUCURUI;22625.0674
3;BELO MONTE;2182.017346
4;JIRAU;2410.952059
5;STO ANTONIO;2282.8
6;I. SOLTEIRA;18384.0604
7;XINGO;3751.5408
8;P.AFONSO 4;117.78565
9;ITUMBIARA;5969.0934
10;TELES PIRES;897.22
11;SAO SIMAO;7739.59
12;G.B. MUNHOZ;3272.266
13;JUPIA;3132.1505
14;P. PRIMAVERA;15858.43258
15;MARIMBONDO;1730.548
16;ITAPARICA;9066.8968
17;ITA;4622.266775
18;SLT.SANTIAGO;3699.2986
19;P.AFONSO 123;25.3777
20;A. VERMELHA;6583.2783
21;FURNAS;9033.4989
22;SERRA MESA;20180.6
23;SEGREDO;2656.1676
24;SALTO CAXIAS;3361.070964
25;EMBORCACAO;5943.2656
26;MACHADINHO;2623.1426
27;LC BARRETO;1308.866775
28;ESTREITO TOC;4196.105232
29;SALTO OSORIO;1097.335382
30;SOBRADINHO;19087.7102
31;LAJEADO;4762.820064
32;CAMPOS NOVOS;1405.6906
33;TRES IRMAOS;11742.3475
34;BARRA GRANDE;2860.89088
35;CACH.DOURADA;425.079387
36;MOXOTO;1107.97
37;TRES MARIAS;11896.639
38;PIMENTAL;2276.29
39;CHAVANTES;6042.2868
40;ROSANA;1784.734476
41;TAQUARUCU;667.188526
42;CAPIVARA;5542.3756
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;623.9175
47;LAJES;267.214
48;PARAIBUNA;2828.5444
49;SANTA BRANCA;259.0664
50;JAGUARI;749.098
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3164.47156
59;CORUMBÁ III;789.0309
60;CORUMBÁ I;815.05
61;BATALHA;892.824144
62;SERRA DO FACÃO;2095.3212
63;NOVA PONTE;3591.168
64;MIRANDA;1062.58992
65;AMADOR AGUIAR I;230.879294
66;AMADOR AGUIAR II;870.77344
67;ESPORA;123.6342
68;SALTO;1162.323004
69;SALTO DO RIO VERDINHO;393.31352
70;CAÇU;230.28995
71;BARRA DOS COQUEIROS;335.229664
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;435.5712
74;ITUTINGA;11.21
75;FUNIL - GRANDE;268.93
76;MASCARENHAS DE MORAES;2415
77;JAGUARA;417.6
78;IGARAPAVA;241.84
79;VOLTA GRANDE;2191.472
80;PORTO COLÔMBIA;1362.61445
81;CACONDE;239.158433
82;E. DA CUNHA;13.34
83;A. S. OLIVEIRA;22.204284
84;SÃO DOMINGOS;120.540266
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;1905.3728
92;BARIRI;520.818621
93;IBITINGA;941.94
94;PROMISSÃO;6219.84114
95;N.AVANHANDAVA;2669.049
96;HENRY BORDEN;1
97;JURUMIRIM;4379.619552
98;PIRAJU;114.09
99;OURINHOS;22.34
100;L. N. GARCEZ;31.989704
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1650.5536
104;SANTA CLARA - PR;369.9278
105;FUNDÃO;24.81912
106;JORDÃO;110
107;BAIXO IGUAÇU;203.549808
108;MANSO;4989.4795
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;84.86064
112;JAURU;17.15
113;PASSO FUNDO;627.154455
114;MONJOLINHO;139.57
115;GARIBALDI;278.7366
116;QUEBRA-QUEIXO;126.749977
117;SÃO JOSÉ;179.233802
118;PASSO S. JOÃO;92.25076
119;FOZ DO CHAPECÓ;1436.551201
120;ERNESTINA;163.5
121;PASSO REAL;1806.9876
122;JACUÍ;24.278096
123;ITAÚBA;552.71754
124;DONA FRANCISCA;301.259936
125;CASTRO ALVES;90.259838
126;MONTE CLARO;9.89
127;14 DE JULHO;52.319617
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;56.7272
130;ROSAL;17
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.8
133;CANDONGA;19.4
134;BAGUARI;31.42
135;AIMORÉS;181.631894
136;MASCARENHAS;24.43
137;SALTO GRANDE;78
138;PORTO ESTRELA;85.284192
139;SANTA CLARA - MG;146
140;IRAPÉ;3814.72786
141;ITAPEBI;1624.525233
142;PEDRA DO CAVALO;113.939
143;RETIRO BAIXO;240.56825
144;QUEIMADO;200.99075
145;BOA ESPERANÇA;3600.9056
146;CANA BRAVA;2243.8133
147;SÃO SALVADOR;920.901707
148;PEIXE ANGICAL;2450.842102
149;DARDANELOS;0.12
150;RONDON II;287.476572
151;GUAPORÉ;22.63
152;SAMUEL;965.926869
153;BALBINA;11463.99326
154;SANTO ANTÔNIO JARI;122.272286
155;SINOP;2278.15024
156;COLÍDER;1518.261368
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;513.23538
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;138.8
161;FERREIRA GOMES;126.8258
162;FONTES BC;37.2
</END>;;
