<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
0;PAMPA SUL;0;0;FALSE;FALSE;7184
1;CANDIOTA 3;270.0;1;FALSE;FALSE;20
2;P. PECEM-unit1;360.0;1;FALSE;FALSE;236
3;P. PECEM-unit2;359.86;1;FALSE;FALSE;236
4;P.ITAQUI;360.0;1;FALSE;FALSE;384
5;PECEM 2;365.0;1;FALSE;FALSE;244
6;J.LACERDA-C-unit7;363.0;1;FALSE;FALSE;504
7;J.LACERDA-B-unit5;131.0;1;FALSE;FALSE;401
8;J.LACERDA-B-unit6;131.0;1;FALSE;FALSE;401
9;J.LACERDA-A1-unit1;50.0;1;FALSE;FALSE;137
10;J.LACERDA-A1-unit2;50.0;1;FALSE;FALSE;48
11;J.LACERDA-A2-unit3;66.0;1;FALSE;FALSE;522
12;J.LACERDA-A2-unit4;0;0;FALSE;FALSE;396
13;ARAUCARIA-unit1;0;0;FALSE;FALSE;6814
14;ARAUCARIA-unit2;0;0;FALSE;FALSE;6814
15;ARAUCARIA-unit3;0;0;FALSE;FALSE;814
16;CUBATAO-unit1;0;0;FALSE;FALSE;88
17;CUBATAO-unit2;0;0;FALSE;FALSE;1990
18;SEROPEDICA-unit1;0;0;FALSE;FALSE;164
19;SEROPEDICA-unit2;0;0;FALSE;FALSE;329
20;SEROPEDICA-unit3;0;0;FALSE;FALSE;719
21;SEROPEDICA-unit4;0;0;FALSE;FALSE;158
22;SEROPEDICA-unit5;0;0;FALSE;FALSE;2322
23;SEROPEDICA-unit6;0;0;FALSE;FALSE;484
24;SEROPEDICA-unit7;0;0;FALSE;FALSE;558
25;SEROPEDICA-unit8;0;0;FALSE;FALSE;650
26;JARAQUI-unit6;36.1;1;FALSE;FALSE;2964
27;JARAQUI-unit7;26.899999999999995;1;FALSE;FALSE;2964
28;MANAUARA-unit1;11.6;1;FALSE;FALSE;351
29;MANAUARA-unit2;16.7;1;FALSE;FALSE;10
30;MANAUARA-unit3;16.7;1;FALSE;FALSE;351
31;MANAUARA-unit4;10.0;1;FALSE;FALSE;351
32;MANAUARA-unit5;10.0;1;FALSE;FALSE;351
33;N.FLU_DESSEM-unit1;175.0;1;FALSE;FALSE;14655
34;N.FLU_DESSEM-unit2;175.0;1;FALSE;FALSE;14655
