<BEGIN>
ID;Name;New generation cost ($/(MWh/h)
0;PAMPA SUL;180.0;
1;CANDIOTA 3;87.05;
2;P. PECEM-unit1;186.67;
3;P. PECEM-unit2;186.67;
4;P.ITAQUI;190.99;
5;PECEM 2;196.78;
6;J.LACERDA-C-unit7;206.84;
7;J.LACERDA-B-unit5;244.14;
8;J.LACERDA-B-unit6;244.14;
9;J.LACERDA-A1-unit1;270.48;
10;J.LACERDA-A1-unit2;270.48;
11;J.LACERDA-A2-unit3;245.21;
12;J.LACERDA-A2-unit4;245.21;
13;ARAUCARIA-unit1;461.58;
14;ARAUCARIA-unit2;461.58;
15;ARAUCARIA-unit3;461.58;
16;CUBATAO-unit1;335.94;
17;CUBATAO-unit2;335.94;
18;SEROPEDICA-unit1;343.77;
19;SEROPEDICA-unit2;343.77;
20;SEROPEDICA-unit3;343.77;
21;SEROPEDICA-unit4;343.77;
22;SEROPEDICA-unit5;343.77;
23;SEROPEDICA-unit6;343.77;
24;SEROPEDICA-unit7;343.77;
25;SEROPEDICA-unit8;343.77;
26;JARAQUI-unit6;0.0;
27;JARAQUI-unit7;0.0;
28;MANAUARA-unit1;0.0;
29;MANAUARA-unit2;0.0;
30;MANAUARA-unit3;0.0;
31;MANAUARA-unit4;0.0;
32;MANAUARA-unit5;0.0;
33;N.FLU_DESSEM-unit1;0.0;
34;N.FLU_DESSEM-unit2;0.0;
35;N.FLU_DESSEM-unit3;0.0;
36;N.FLU_DESSEM-unit4;0.0;
37;P. NEGRA-unit1;0.0;
38;P. NEGRA-unit2;0.0;
39;P. NEGRA-unit3;0.0;
40;P. NEGRA-unit4;0.0;
41;TERMORIO-unit1;267.93;
42;TERMORIO-unit2;267.93;
43;TERMORIO-unit3;267.93;
44;TERMORIO-unit4;267.93;
45;TERMORIO-unit5;267.93;
46;TERMORIO-unit6;267.93;
47;TERMORIO-unit7;267.93;
48;TERMORIO-unit8;267.93;
49;T.LAGOAS-unit1;224.55;
50;T.LAGOAS-unit2;224.55;
51;T.LAGOAS-unit3;224.55;
52;T.LAGOAS-unit4;224.55;
53;T.LAGOAS-unit5;224.55;
54;T.LAGOAS-unit6;224.55;
55;MARANHAO 3-unit1;85.72;
56;MARANHAO 3-unit2;80.44;
57;MARANHAO 3-unit3;80.44;
58;TERMOPERNAMB-unit1;166.28;
59;TERMOPERNAMB-unit2;166.28;
60;TERMOPERNAMB-unit3;166.28;
61;B FLUMINENSE-unit1;187.58;
62;B FLUMINENSE-unit2;187.58;
63;B FLUMINENSE-unit3;187.58;
64;MARANHAO 4-unit1;195.38;
65;MARANHAO 4-unit2;127.77;
66;MARANHAO 5-unit1;195.38;
67;MARANHAO 5-unit2;127.77;
68;FORTALEZA-unit1;223.72;
69;FORTALEZA-unit2;223.72;
70;FORTALEZA-unit3;223.72;
71;LINHARES-unit1;323.35;
72;LINHARES-unit2;323.35;
73;LINHARES-unit3;323.35;
74;LINHARES-unit4;323.35;
75;N VENECIA;232.27;
76;J.DEFORA-unit1;283.74;
77;J.DEFORA-unit2;283.74;
78;RALMEIDA(L)-unit1;345.02;
79;RALMEIDA(L)-unit2;345.02;
80;RALMEIDA(L)-unit3;345.02;
81;RALMEIDA(L)-unit4;345.02;
82;IBIRITE-gas;346.37;
83;IBIRITE-steam;346.37;
84;TERMOCEARA(L)-unit1;371.44;
85;TERMOCEARA(L)-unit2;371.44;
86;TERMOCEARA(L)-unit3;371.44;
87;TERMOCEARA(L)-unit4;371.44;
88;TERMOBAHIA;429.39;
89;VALE DO ACU-unit1;423.68;
90;VALE DO ACU-unit2;423.68;
91;URUGUAIANA-unit1;606.28;
92;URUGUAIANA-unit2;606.28;
93;URUGUAIANA-unit3;606.28;
94;M.COVAS-unit1;471.48;
95;M.COVAS-unit2;511.77;
96;M.COVAS-unit3;511.77;
97;NPIRATININGA-unit1;548.04;
98;NPIRATININGA-unit2;548.04;
99;NPIRATININGA-unit3;548.04;
100;NPIRATININGA-unit4;548.04;
101;NPIRATININGA-unit5;548.04;
102;NPIRATININGA-unit6;548.04;
103;TERMOMACAE-unit1;612.36;
104;TERMOMACAE-unit2;612.36;
105;TERMOMACAE-unit3;612.36;
106;TERMOMACAE-unit4;612.36;
107;TERMOMACAE-unit5;612.36;
108;TERMOMACAE-unit6;612.36;
109;TERMOMACAE-unit7;612.36;
110;TERMOMACAE-unit8;612.36;
111;TERMOMACAE-unit9;612.36;
112;TERMOMACAE-unit10;612.36;
113;TERMOMACAE-unit11;612.36;
114;TERMOMACAE-unit12;612.36;
115;TERMOMACAE-unit13;612.36;
116;TERMOMACAE-unit14;612.36;
117;TERMOMACAE-unit15;612.36;
118;TERMOMACAE-unit16;612.36;
119;TERMOMACAE-unit17;612.36;
120;TERMOMACAE-unit18;612.36;
121;TERMOMACAE-unit19;612.36;
122;TERMOMACAE-unit20;612.36;
123;S.TIARAJU(L)-gas;698.14;
124;S.TIARAJU(L)-steam;698.14;
125;TNORTE 2-unit1;910.86;
126;TNORTE 2-unit2;910.86;
127;TNORTE 2-unit3;910.86;
128;TNORTE 2-unit4;910.86;
129;APAREC B1-unit1;68.55;
130;APAREC B1-unit2;68.55;
131;APAREC B1-unit3;68.55;
132;APAREC B1-unit4;68.55;
133;SUZANO MA;800.0;
134;ANGRA 2;20.12;
135;ANGRA 1;31.17;
136;CRIST.ROCHA-unit1;0.0;
137;CRIST.ROCHA-unit2;0.0;
138;CRIST.ROCHA-unit3;0.0;
139;CRIST.ROCHA-unit4;0.0;
140;CRIST.ROCHA-unit5;0.0;
141;TAMBAQUI-unit1;0.0;
142;TAMBAQUI-unit2;0.0;
143;TAMBAQUI-unit3;0.0;
144;MARACANAU-unit1;645.9999999999999;
145;MARACANAU-unit2;645.9999999999999;
146;MARACANAU-unit3;645.9999999999999;
147;MARACANAU-unit4;645.9999999999999;
148;MARACANAU-unit5;645.9999999999999;
149;MARACANAU-unit6;645.9999999999999;
150;MARACANAU-unit7;645.9999999999999;
151;MARACANAU-unit8;645.9999999999999;
152;T.NORDESTE-unit1;666.12;
153;T.NORDESTE-unit2;666.12;
154;T.NORDESTE-unit3;666.12;
155;T.PARAIBA-unit1;666.12;
156;T.PARAIBA-unit2;666.12;
157;T.PARAIBA-unit3;666.12;
158;GERAMAR I-unit1;668.77;
159;GERAMAR I-unit2;668.77;
160;GERAMAR I-unit3;668.77;
161;GERAMAR I-unit4;668.77;
162;GERAMAR I-unit5;655.0000000000001;
163;GERAMAR I-unit6;655.0000000000001;
164;GERAMAR I-unit7;655.0000000000001;
165;GERAMAR I-unit8;655.0000000000001;
166;GERAMAR I-unit9;655.0000000000001;
167;GERAMAR I-unit10;655.0000000000001;
168;GERAMAR I-unit11;655.0000000000001;
169;GERAMAR I-unit12;655.0000000000001;
170;GERAMAR I-unit13;655.0000000000001;
171;GERAMAR I-unit14;655.0000000000001;
172;GERAMAR I-unit15;655.0000000000001;
173;GERAMAR I-unit16;655.0000000000001;
174;GERAMAR I-unit17;655.0000000000001;
175;GERAMAR I-unit18;655.0000000000001;
176;GERAMAR I-unit19;655.0000000000001;
177;GERAMAR II-unit1;668.77;
178;GERAMAR II-unit2;668.77;
179;GERAMAR II-unit3;668.77;
180;GERAMAR II-unit4;668.77;
181;GERAMAR II-unit5;655.0000000000001;
182;GERAMAR II-unit6;655.0000000000001;
183;GERAMAR II-unit7;655.0000000000001;
184;GERAMAR II-unit8;655.0000000000001;
185;GERAMAR II-unit9;655.0000000000001;
186;GERAMAR II-unit10;655.0000000000001;
187;GERAMAR II-unit11;655.0000000000001;
188;GERAMAR II-unit12;655.0000000000001;
189;GERAMAR II-unit13;655.0000000000001;
190;GERAMAR II-unit14;655.0000000000001;
191;GERAMAR II-unit15;655.0000000000001;
192;GERAMAR II-unit16;655.0000000000001;
193;GERAMAR II-unit17;655.0000000000001;
194;GERAMAR II-unit18;655.0000000000001;
195;GERAMAR II-unit19;655.0000000000001;
196;UTE VIANA-unit1;668.78;
197;UTE VIANA-unit2;668.78;
198;UTE VIANA-unit3;668.78;
199;UTE VIANA-unit4;668.78;
200;CAMPINA GRAN-unit1;668.79;
201;CAMPINA GRAN-unit2;668.79;
202;CAMPINA GRAN-unit3;668.79;
203;CAMPINA GRAN-unit4;668.79;
204;SUAPE 2-unit1;673.59;
205;SUAPE 2-unit2;673.59;
206;SUAPE 2-unit3;673.59;
207;SUAPE 2-unit4;673.59;
208;SUAPE 2-unit5;673.59;
209;SUAPE 2-unit6;673.59;
210;SUAPE 2-unit7;673.59;
211;SUAPE 2-unit8;673.59;
212;SUAPE 2-unit9;673.59;
213;SUAPE 2-unit10;673.59;
214;SUAPE 2-unit11;673.59;
215;SUAPE 2-unit12;673.59;
216;SUAPE 2-unit13;673.59;
217;SUAPE 2-unit14;673.59;
218;SUAPE 2-unit15;673.59;
219;SUAPE 2-unit16;673.59;
220;SUAPE 2-unit17;673.59;
221;GLOBAL I-unit1;758.82;
222;GLOBAL I-unit2;758.82;
223;GLOBAL I-unit3;758.82;
224;GLOBAL I-unit4;758.82;
225;GLOBAL II-unit1;758.82;
226;GLOBAL II-unit2;758.82;
227;GLOBAL II-unit3;758.82;
228;GLOBAL II-unit4;758.82;
229;IGARAPE;939.55;
230;CAMACARI MI-unit1;1019.01;
231;CAMACARI MI-unit2;1019.01;
232;CAMACARI MI-unit3;1019.01;
233;CAMACARI MI-unit4;1019.01;
234;MAUA 3-unit1;68.55;
235;MAUA 3-unit2;68.55;
236;MAUA 3-unit3;68.55;
237;PERNAMBUCO3-unit1;569.75;
238;PERNAMBUCO3-unit2;569.75;
239;PERNAMBUCO3-unit3;569.75;
240;PERNAMBUCO3-unit4;569.75;
241;PALMEIRAS-unit1;761.06;
242;PALMEIRAS-unit2;761.06;
243;GOIANIA 2-unit1;1236.04;
244;GOIANIA 2-unit2;1236.04;
245;PETROLINA(L)-unit1;1118.0;
246;PETROLINA(L)-unit2;1118.0;
247;PETROLINA(L)-unit3;1118.0;
248;PETROLINA(L)-unit4;1118.0;
249;PETROLINA(L)-unit5;1118.0;
250;PETROLINA(L)-unit6;1118.0;
251;PETROLINA(L)-unit7;1118.0;
252;PETROLINA(L)-unit8;1118.0;
253;P.FERRO-unit1;1133.07;
254;P.FERRO-unit2;1133.07;
255;P.FERRO-unit3;1133.07;
256;P.FERRO-unit4;1133.07;
257;P.FERRO-unit5;1133.07;
258;P.FERRO-unit6;1133.07;
259;P.FERRO-unit7;1133.07;
260;T.MANAUS-unit1;1133.07;
261;T.MANAUS-unit2;1133.07;
262;T.MANAUS-unit3;1133.07;
263;T.MANAUS-unit4;1133.07;
264;T.MANAUS-unit5;1133.07;
265;T.MANAUS-unit6;1133.07;
266;T.MANAUS-unit7;1133.07;
267;T.MANAUS-unit8;1133.07;
268;T.MANAUS-unit9;1133.07;
269;T.MANAUS-unit10;1133.07;
270;T.MANAUS-unit11;1133.07;
271;T.MANAUS-unit12;1133.07;
272;ATLANTICO-unit1;0.0;
273;ATLANTICO-unit2;0.0;
274;ATLANTICO 2;0.0;
275;S.CRUZ 34-unit1;310.41;
276;S.CRUZ 34-unit2;310.41;
277;S.CRUZ NV-unit1;211.92;
278;S.CRUZ NV-unit2;211.92;
279;PIRATININGA 12-unit1;470.34;
280;PIRATININGA 12-unit2;470.34;
281;CAMPOS-unit1;978.1;
282;CAMPOS-unit2;978.1;
283;DAIA-unit1;1178.85;
284;DAIA-unit2;1178.85;
285;DAIA-unit3;1178.85;
286;STA VITORIA;121.49;
287;XAVANTES-unit1;1695.49;
288;XAVANTES-unit2;1695.49;
289;ALTOS;1024.39;
290;ARACATI;1024.39;
291;BAHIA-unit1;815.27;
292;BAHIA-unit2;815.27;
293;BAHIA-unit3;815.27;
294;BATURITE;1024.39;
295;IGUATU;1024.39;
296;JUAZEIRO N;1024.39;
297;MARAMBAIA;1024.39;
298;MURICY-unit1;1019.01;
299;MURICY-unit2;1019.01;
300;MURICY-unit3;1019.01;
301;MURICY-unit4;1019.01;
302;MURICY-unit5;1019.01;
303;MURICY-unit6;1019.01;
304;MURICY-unit7;1019.01;
305;MURICY-unit8;1019.01;
306;NAZARIA;1024.39;
307;PSERGIPE I-gas1;202.2;
308;PSERGIPE I-gas2;202.2;
309;PSERGIPE I-gas3;202.2;
310;PSERGIPE I-steam;202.2;
311;POTIGUAR-unit1;1000.83;
312;POTIGUAR-unit2;1000.83;
313;POTIGUAR-unit3;1000.83;
314;POTIGUAR-unit4;1000.83;
315;POTIGUAR_3-unit1;1000.82;
316;POTIGUAR_3-unit2;1000.82;
317;POTIGUAR_3-unit3;1000.82;
318;POTIGUAR_3-unit4;1000.82;
319;POTIGUAR_3-unit5;1000.82;
320;POTIGUAR_3-unit6;1000.82;
321;PROSPERIDA-unit1;165.61;
322;PROSPERIDA-unit2;165.61;
323;PROSPERIDA-unit3;165.61;
324;SYKUE I;510.12;
325;TERMOCABO-unit1;660.76;
326;TERMOCABO-unit2;660.76;
327;TERMOCABO-unit3;660.76;
328;PARNAIB_IV;151.69;
</END>
