<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27695.19
2;TUCURUI;20215.9798
3;BELO MONTE;2077.232422
4;JIRAU;1363.741807
5;STO ANTONIO;2154.3625
6;I. SOLTEIRA;18271.3719
7;XINGO;3787.9968
8;P.AFONSO 4;117.1927
9;ITUMBIARA;5177.019
10;TELES PIRES;897.22
11;SAO SIMAO;7290.296
12;G.B. MUNHOZ;2518.4955
13;JUPIA;3353.75
14;P. PRIMAVERA;16012.21296
15;MARIMBONDO;1123.018
16;ITAPARICA;9187.5288
17;ITA;4526.76413
18;SLT.SANTIAGO;3702.1777
19;P.AFONSO 123;16.2
20;A. VERMELHA;6118.5852
21;FURNAS;8222.5782
22;SERRA MESA;20859.625
23;SEGREDO;2623.498
24;SALTO CAXIAS;3375.199932
25;EMBORCACAO;5767.0096
26;MACHADINHO;2471.146
27;LC BARRETO;1375.37017
28;ESTREITO TOC;4621.681872
29;SALTO OSORIO;1082.839262
30;SOBRADINHO;20466.6891
31;LAJEADO;4940.669883
32;CAMPOS NOVOS;1385.8615
33;TRES IRMAOS;11611.6304
34;BARRA GRANDE;2831.070704
35;CACH.DOURADA;419.222019
36;MOXOTO;1102.444
37;TRES MARIAS;11702.6084
38;PIMENTAL;2276.29
39;CHAVANTES;6169.7047
40;ROSANA;1857.280156
41;TAQUARUCU;631.702929
42;CAPIVARA;5280.2164
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;574.731
47;LAJES;267.214
48;PARAIBUNA;2607.6476
49;SANTA BRANCA;252.9064
50;JAGUARI;664.5642
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3070.90074
59;CORUMBÁ III;735.7734
60;CORUMBÁ I;537.465
61;BATALHA;770.102496
62;SERRA DO FACÃO;2221.1367
63;NOVA PONTE;3632.688
64;MIRANDA;1085.60928
65;AMADOR AGUIAR I;241.13
66;AMADOR AGUIAR II;867.95656
67;ESPORA;107.01735
68;SALTO;1187.4
69;SALTO DO RIO VERDINHO;390.57144
70;CAÇU;227.2298
71;BARRA DOS COQUEIROS;334.488144
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;266.2944
74;ITUTINGA;11.21
75;FUNIL - GRANDE;268.93
76;MASCARENHAS DE MORAES;2228.75
77;JAGUARA;405
78;IGARAPAVA;229.145371
79;VOLTA GRANDE;2242.0972
80;PORTO COLÔMBIA;1409.8982
81;CACONDE;168.888287
82;E. DA CUNHA;13.34
83;A. S. OLIVEIRA;21.832912
84;SÃO DOMINGOS;112.31
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;1816.8458
92;BARIRI;516.742049
93;IBITINGA;955.15875
94;PROMISSÃO;5996.47464
95;N.AVANHANDAVA;2567.9172
96;HENRY BORDEN;1
97;JURUMIRIM;4278.984636
98;PIRAJU;114.031872
99;OURINHOS;18.68
100;L. N. GARCEZ;33.287416
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1571.5376
104;SANTA CLARA - PR;302.5152
105;FUNDÃO;23.9004
106;JORDÃO;110
107;BAIXO IGUAÇU;211.92
108;MANSO;5069.7467
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;85.164
112;JAURU;17.15
113;PASSO FUNDO;726.741304
114;MONJOLINHO;142.141516
115;GARIBALDI;277.916264
116;QUEBRA-QUEIXO;127.334156
117;SÃO JOSÉ;177.714168
118;PASSO S. JOÃO;84.39232
119;FOZ DO CHAPECÓ;1431.08443
120;ERNESTINA;163.5
121;PASSO REAL;1959.1852
122;JACUÍ;28.173179
123;ITAÚBA;568.79066
124;DONA FRANCISCA;291.27536
125;CASTRO ALVES;87.16
126;MONTE CLARO;9.89
127;14 DE JULHO;50.47
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;45.0428
130;ROSAL;17
131;GUILMAN-AMORIM;1.71211754
132;SÁ CARVALHO;1.771097
133;CANDONGA;19.4
134;BAGUARI;38.07
135;AIMORÉS;178.808759
136;MASCARENHAS;24.43
137;SALTO GRANDE;78
138;PORTO ESTRELA;74.424144
139;SANTA CLARA - MG;146
140;IRAPÉ;3644.86044
141;ITAPEBI;1624.511575
142;PEDRA DO CAVALO;114.5
143;RETIRO BAIXO;220.415253
144;QUEIMADO;142.81025
145;BOA ESPERANÇA;3398.616
146;CANA BRAVA;2241.9365
147;SÃO SALVADOR;931.261283
148;PEIXE ANGICAL;2387.887112
149;DARDANELOS;0.12
150;RONDON II;244.272452
151;GUAPORÉ;22.211185
152;SAMUEL;943.23
153;BALBINA;10873.0993
154;SANTO ANTÔNIO JARI;133.39
155;SINOP;1784.24412
156;COLÍDER;1496.86548
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;591.20494
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;138.8
161;FERREIRA GOMES;127.164
162;FONTES BC;37.2
</END>;;
