<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
0;PAMPA SUL;0;0;FALSE;FALSE;3488
1;CANDIOTA 3;0;0;FALSE;FALSE;932
2;P. PECEM-unit1;0;0;FALSE;FALSE;3810
3;P. PECEM-unit2;0;0;FALSE;FALSE;3667
4;P.ITAQUI;0;0;FALSE;FALSE;3801
5;PECEM 2;0;0;FALSE;FALSE;4126
6;J.LACERDA-C-unit7;0;0;FALSE;FALSE;718
7;J.LACERDA-B-unit5;80.01;1;FALSE;FALSE;451
8;J.LACERDA-B-unit6;0;0;FALSE;FALSE;120
9;J.LACERDA-A1-unit1;0;0;FALSE;FALSE;3216
10;J.LACERDA-A1-unit2;0;0;FALSE;FALSE;3309
11;J.LACERDA-A2-unit3;35.01;1;FALSE;FALSE;286
12;J.LACERDA-A2-unit4;35.0;1;FALSE;FALSE;286
13;ARAUCARIA-unit1;0;0;FALSE;FALSE;3118
14;ARAUCARIA-unit2;0;0;FALSE;FALSE;3118
15;ARAUCARIA-unit3;0;0;FALSE;FALSE;3118
16;CUBATAO-unit1;0;0;FALSE;FALSE;288
17;CUBATAO-unit2;45.0;1;FALSE;FALSE;288
18;SEROPEDICA-unit1;0;0;FALSE;FALSE;4008
19;SEROPEDICA-unit2;0;0;FALSE;FALSE;6118
20;SEROPEDICA-unit3;0;0;FALSE;FALSE;3985
21;SEROPEDICA-unit4;0;0;FALSE;FALSE;3360
22;SEROPEDICA-unit5;0;0;FALSE;FALSE;6118
23;SEROPEDICA-unit6;0;0;FALSE;FALSE;5011
24;SEROPEDICA-unit7;0;0;FALSE;FALSE;4657
25;SEROPEDICA-unit8;0;0;FALSE;FALSE;4967
26;JARAQUI-unit6;36.1;1;FALSE;FALSE;7446
27;JARAQUI-unit7;26.899999999999995;1;FALSE;FALSE;7446
28;MANAUARA-unit1;16.7;1;FALSE;FALSE;213
29;MANAUARA-unit2;10.0;1;FALSE;FALSE;65
30;MANAUARA-unit3;16.7;1;FALSE;FALSE;24
31;MANAUARA-unit4;11.6;1;FALSE;FALSE;34
32;MANAUARA-unit5;10.0;1;FALSE;FALSE;4
33;N.FLU_DESSEM-unit1;0;0;FALSE;FALSE;10959
34;N.FLU_DESSEM-unit2;133.33333333333331;1;FALSE;FALSE;10959
35;N.FLU_DESSEM-unit3;133.33333333333331;1;FALSE;FALSE;10959
36;N.FLU_DESSEM-unit4;133.33333333333331;1;FALSE;FALSE;10959
37;P. NEGRA-unit1;16.0;1;FALSE;FALSE;7306
38;P. NEGRA-unit2;16.0;1;FALSE;FALSE;7306
39;P. NEGRA-unit3;16.0;1;FALSE;FALSE;7306
40;P. NEGRA-unit4;16.0;1;FALSE;FALSE;7306
41;TERMORIO-unit1;0;0;FALSE;FALSE;5422
42;TERMORIO-unit2;0;0;FALSE;FALSE;5422
43;TERMORIO-unit3;0;0;FALSE;FALSE;5422
44;TERMORIO-unit4;0;0;FALSE;FALSE;5422
45;TERMORIO-unit5;0;0;FALSE;FALSE;5422
46;TERMORIO-unit6;0;0;FALSE;FALSE;5422
47;TERMORIO-unit7;85.0;1;FALSE;FALSE;5422
48;TERMORIO-unit8;85.0;1;FALSE;FALSE;5422
49;T.LAGOAS-unit1;0.0;0;FALSE;FALSE;3600
50;T.LAGOAS-unit2;0.0;0;FALSE;FALSE;3600
51;T.LAGOAS-unit3;0.0;0;FALSE;FALSE;3600
52;T.LAGOAS-unit4;0.0;0;FALSE;FALSE;3600
53;T.LAGOAS-unit5;0.0;0;FALSE;FALSE;3600
54;T.LAGOAS-unit6;0.0;0;FALSE;FALSE;3600
55;MARANHAO 3-unit1;155.0;1;FALSE;FALSE;1529
56;MARANHAO 3-unit2;155.0;1;FALSE;FALSE;1529
57;MARANHAO 3-unit3;208.0;1;FALSE;FALSE;1529
58;TERMOPERNAMB-unit1;164.7;1;FALSE;FALSE;2627
59;TERMOPERNAMB-unit2;160.5;1;FALSE;FALSE;2627
60;TERMOPERNAMB-unit3;207.80000000000004;1;FALSE;FALSE;2627
61;B FLUMINENSE-unit1;0.0;0;FALSE;FALSE;3600
62;B FLUMINENSE-unit2;0.0;0;FALSE;FALSE;3600
63;B FLUMINENSE-unit3;0.0;0;FALSE;FALSE;3600
64;MARANHAO 4-unit1;0;0;FALSE;FALSE;3695
65;MARANHAO 4-unit2;0.0;0;FALSE;FALSE;3600
66;MARANHAO 5-unit1;0;0;FALSE;FALSE;3696
67;MARANHAO 5-unit2;0.0;0;FALSE;FALSE;3600
68;FORTALEZA-unit1;0;0;FALSE;FALSE;4765
69;FORTALEZA-unit2;0;0;FALSE;FALSE;6193
70;FORTALEZA-unit3;0;0;FALSE;FALSE;4127
71;LINHARES-unit1;51.0;1;FALSE;FALSE;5305
72;LINHARES-unit2;51.0;1;FALSE;FALSE;1259
73;LINHARES-unit3;51.0;1;FALSE;FALSE;5305
74;LINHARES-unit4;34.0;1;FALSE;FALSE;1224
75;N VENECIA;0;0;FALSE;FALSE;5655
76;J.DEFORA-unit1;0;0;FALSE;FALSE;3177
77;J.DEFORA-unit2;0;0;FALSE;FALSE;4463
78;RALMEIDA(L)-unit1;0;0;FALSE;FALSE;4646
79;RALMEIDA(L)-unit2;0;0;FALSE;FALSE;6652
80;RALMEIDA(L)-unit3;0;0;FALSE;FALSE;5015
81;RALMEIDA(L)-unit4;0;0;FALSE;FALSE;7368
82;IBIRITE-gas;0;0;FALSE;FALSE;2354
83;IBIRITE-steam;0.0;0;FALSE;FALSE;3600
84;TERMOCEARA(L)-unit1;0;0;FALSE;FALSE;4704
85;TERMOCEARA(L)-unit2;0;0;FALSE;FALSE;3648
86;TERMOCEARA(L)-unit3;0;0;FALSE;FALSE;4680
87;TERMOCEARA(L)-unit4;0;0;FALSE;FALSE;4704
88;TERMOBAHIA;150.0;1;FALSE;FALSE;720
89;VALE DO ACU-unit1;155.0;1;FALSE;FALSE;1122
90;VALE DO ACU-unit2;0;0;FALSE;FALSE;1181
91;URUGUAIANA-unit1;0;0;FALSE;FALSE;7700
92;URUGUAIANA-unit2;0;0;FALSE;FALSE;7700
93;URUGUAIANA-unit3;0;0;FALSE;FALSE;7700
94;M.COVAS-unit1;0;0;FALSE;FALSE;5137
95;M.COVAS-unit2;0.0;0;FALSE;FALSE;3600
96;M.COVAS-unit3;0.0;0;FALSE;FALSE;3600
