<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;28628.66374
2;TUCURUI;23595.7192
3;BELO MONTE;2212.03912
4;JIRAU;2746.7
5;STO ANTONIO;2077.3
6;I. SOLTEIRA;18909.5736
7;XINGO;3766.7308
8;P.AFONSO 4;117.50245
9;ITUMBIARA;6707.6156
10;TELES PIRES;897.22
11;SAO SIMAO;8048.722
12;G.B. MUNHOZ;4821.2815
13;JUPIA;3303.230375
14;P. PRIMAVERA;15747.1596
15;MARIMBONDO;2023.004
16;ITAPARICA;8884.5296
17;ITA;4981.139705
18;SLT.SANTIAGO;5183.6803
19;P.AFONSO 123;25.70012
20;A. VERMELHA;6883.0803
21;FURNAS;9961.4952
22;SERRA MESA;20267.1
23;SEGREDO;2874.34
24;SALTO CAXIAS;3497.832828
25;EMBORCACAO;6227.8864
26;MACHADINHO;3018.1435
27;LC BARRETO;1343.570395
28;ESTREITO TOC;4071.540384
29;SALTO OSORIO;1098.744727
30;SOBRADINHO;20587.0989
31;LAJEADO;4907.531064
32;CAMPOS NOVOS;1477
33;TRES IRMAOS;12161.0561
34;BARRA GRANDE;4072.116264
35;CACH.DOURADA;463.596019
36;MOXOTO;1115.818
37;TRES MARIAS;12652.9
38;PIMENTAL;2276.29
39;CHAVANTES;6228.7001
40;ROSANA;1834.782844
41;TAQUARUCU;658.141011
42;CAPIVARA;6818.8276
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;624.704
47;LAJES;267.214
48;PARAIBUNA;3051.0228
49;SANTA BRANCA;254.662
50;JAGUARI;834.1076
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3112.17064
59;CORUMBÁ III;764.2563
60;CORUMBÁ I;885.502
61;BATALHA;809.83836
62;SERRA DO FACÃO;2235.9588
63;NOVA PONTE;3717.804
64;MIRANDA;1066.73952
65;AMADOR AGUIAR I;232.56524
66;AMADOR AGUIAR II;868.19284
67;ESPORA;127.05185
68;SALTO;1176.270728
69;SALTO DO RIO VERDINHO;389.075
70;CAÇU;228.4925
71;BARRA DOS COQUEIROS;336.459152
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;461.5104
74;ITUTINGA;10.110352
75;FUNIL - GRANDE;266.968039
76;MASCARENHAS DE MORAES;2288.5
77;JAGUARA;437.985
78;IGARAPAVA;228.276076
79;VOLTA GRANDE;2098.4224
80;PORTO COLÔMBIA;1358.22465
81;CACONDE;243.140744
82;E. DA CUNHA;12.60836
83;A. S. OLIVEIRA;22.659092
84;SÃO DOMINGOS;121.888556
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;2090.1248
92;BARIRI;517.16031
93;IBITINGA;959.41125
94;PROMISSÃO;6290.25477
95;N.AVANHANDAVA;2686.7998
96;HENRY BORDEN;1
97;JURUMIRIM;4661.903656
98;PIRAJU;110.423092
99;OURINHOS;22.03988
100;L. N. GARCEZ;38.15824
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1939.7256
104;SANTA CLARA - PR;431
105;FUNDÃO;30.6
106;JORDÃO;110
107;BAIXO IGUAÇU;211.92
108;MANSO;5048.7946
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;96.13488
112;JAURU;17.15
113;PASSO FUNDO;649.206832
114;MONJOLINHO;143.194498
115;GARIBALDI;296
116;QUEBRA-QUEIXO;136.63
117;SÃO JOSÉ;188.11
118;PASSO S. JOÃO;77.5
119;FOZ DO CHAPECÓ;1486.464545
120;ERNESTINA;148.4425
121;PASSO REAL;1740.784
122;JACUÍ;27.543917
123;ITAÚBA;580.75058
124;DONA FRANCISCA;286.23928
125;CASTRO ALVES;91.766
126;MONTE CLARO;11.03026
127;14 DE JULHO;55.18
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;84.6512
130;ROSAL;17
131;GUILMAN-AMORIM;2.4530186
132;SÁ CARVALHO;1.76164
133;CANDONGA;19.4
134;BAGUARI;33.31525
135;AIMORÉS;180.49137
136;MASCARENHAS;17.812
137;SALTO GRANDE;78
138;PORTO ESTRELA;87.324384
139;SANTA CLARA - MG;146
140;IRAPÉ;3610.148402
141;ITAPEBI;1626.041271
142;PEDRA DO CAVALO;113.1162
143;RETIRO BAIXO;226.860452
144;QUEIMADO;240.193325
145;BOA ESPERANÇA;3784.4576
146;CANA BRAVA;2239.5514
147;SÃO SALVADOR;920.452319
148;PEIXE ANGICAL;2375.085386
149;DARDANELOS;0.12
150;RONDON II;310.9098
151;GUAPORÉ;22.63
152;SAMUEL;1371.155238
153;BALBINA;12353.42251
154;SANTO ANTÔNIO JARI;109.093924
155;SINOP;2362.56104
156;COLÍDER;1514.2728
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;571.1233
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;136.40117
161;FERREIRA GOMES;121.049344
162;FONTES BC;37.2
</END>;;
