<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
0;PAMPA SUL;0;0;FALSE;FALSE;6680
1;CANDIOTA 3;320.0;1;FALSE;FALSE;518
2;P. PECEM-unit1;359.86;1;FALSE;FALSE;96
3;P. PECEM-unit2;360.0;1;FALSE;FALSE;96
4;P.ITAQUI;360.0;1;FALSE;FALSE;480
5;PECEM 2;365.0;1;FALSE;FALSE;432
6;J.LACERDA-C-unit7;0;0;FALSE;FALSE;156
7;J.LACERDA-B-unit5;131.0;1;FALSE;FALSE;1836
8;J.LACERDA-B-unit6;0;0;FALSE;FALSE;24
9;J.LACERDA-A1-unit1;35.01;1;FALSE;FALSE;18
10;J.LACERDA-A1-unit2;0;0;FALSE;FALSE;232
11;J.LACERDA-A2-unit3;66.0;1;FALSE;FALSE;206
12;J.LACERDA-A2-unit4;66.0;1;FALSE;FALSE;336
13;ARAUCARIA-unit1;0;0;FALSE;FALSE;6310
14;ARAUCARIA-unit2;0;0;FALSE;FALSE;6310
15;ARAUCARIA-unit3;0;0;FALSE;FALSE;310
16;CUBATAO-unit1;0;0;FALSE;FALSE;46
17;CUBATAO-unit2;0;0;FALSE;FALSE;1486
18;SEROPEDICA-unit1;0;0;FALSE;FALSE;1099
19;SEROPEDICA-unit2;0;0;FALSE;FALSE;1537
20;SEROPEDICA-unit3;0;0;FALSE;FALSE;215
21;SEROPEDICA-unit4;0;0;FALSE;FALSE;1851
22;SEROPEDICA-unit5;0;0;FALSE;FALSE;1818
23;SEROPEDICA-unit6;0;0;FALSE;FALSE;840
24;SEROPEDICA-unit7;0;0;FALSE;FALSE;54
25;SEROPEDICA-unit8;0;0;FALSE;FALSE;146
26;JARAQUI-unit6;23.6;1;FALSE;FALSE;2460
27;JARAQUI-unit7;36.1;1;FALSE;FALSE;2460
28;MANAUARA-unit1;14.899999999999999;1;FALSE;FALSE;1029
29;MANAUARA-unit2;16.7;1;FALSE;FALSE;519
30;MANAUARA-unit3;16.7;1;FALSE;FALSE;402
31;MANAUARA-unit4;16.7;1;FALSE;FALSE;868
32;MANAUARA-unit5;0;0;FALSE;FALSE;384
33;N.FLU_DESSEM-unit1;175.0;1;FALSE;FALSE;14151
34;N.FLU_DESSEM-unit2;175.0;1;FALSE;FALSE;14151
35;N.FLU_DESSEM-unit3;175.0;1;FALSE;FALSE;14151
36;N.FLU_DESSEM-unit4;175.0;1;FALSE;FALSE;14151
37;P. NEGRA-unit1;16.0;1;FALSE;FALSE;10498
38;P. NEGRA-unit2;16.0;1;FALSE;FALSE;10498
39;P. NEGRA-unit3;16.0;1;FALSE;FALSE;10498
40;P. NEGRA-unit4;16.0;1;FALSE;FALSE;10498
41;TERMORIO-unit1;0.0;0;FALSE;FALSE;3600
42;TERMORIO-unit2;0.0;0;FALSE;FALSE;3600
43;TERMORIO-unit3;0.0;0;FALSE;FALSE;3600
44;TERMORIO-unit4;0.0;0;FALSE;FALSE;3600
45;TERMORIO-unit5;0.0;0;FALSE;FALSE;3600
46;TERMORIO-unit6;0.0;0;FALSE;FALSE;3600
47;TERMORIO-unit7;0.0;0;FALSE;FALSE;3600
48;TERMORIO-unit8;0.0;0;FALSE;FALSE;3600
49;T.LAGOAS-unit1;60.0;1;FALSE;FALSE;10560
50;T.LAGOAS-unit2;60.0;1;FALSE;FALSE;10560
51;T.LAGOAS-unit3;60.0;1;FALSE;FALSE;10560
52;T.LAGOAS-unit4;60.0;1;FALSE;FALSE;10560
53;T.LAGOAS-unit5;60.0;1;FALSE;FALSE;10560
54;T.LAGOAS-unit6;60.0;1;FALSE;FALSE;10560
55;MARANHAO 3-unit1;155.0;1;FALSE;FALSE;96
56;MARANHAO 3-unit2;0.0;0;FALSE;FALSE;3600
57;MARANHAO 3-unit3;0.0;0;FALSE;FALSE;3600
58;TERMOPERNAMB-unit1;164.7;1;FALSE;FALSE;5819
59;TERMOPERNAMB-unit2;160.5;1;FALSE;FALSE;5819
60;TERMOPERNAMB-unit3;207.80000000000004;1;FALSE;FALSE;5819
61;B FLUMINENSE-unit1;150.0;1;FALSE;FALSE;1728
