<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27695.19
2;TUCURUI;20106.8302
3;BELO MONTE;2163.608134
4;JIRAU;1619.407203
5;STO ANTONIO;2128.65445
6;I. SOLTEIRA;18269.1731
7;XINGO;3771.5048
8;P.AFONSO 4;116.6086
9;ITUMBIARA;5436.0622
10;TELES PIRES;897.22
11;SAO SIMAO;7416.608
12;G.B. MUNHOZ;2802.3485
13;JUPIA;3299.70575
14;P. PRIMAVERA;15922.00832
15;MARIMBONDO;1383.388
16;ITAPARICA;8575.144
17;ITA;4513.120895
18;SLT.SANTIAGO;3580.4329
19;P.AFONSO 123;26
20;A. VERMELHA;6185.7822
21;FURNAS;8127.8847
22;SERRA MESA;20565.525
23;SEGREDO;2602.2744
24;SALTO CAXIAS;3331.531056
25;EMBORCACAO;5748.7312
26;MACHADINHO;2517.1255
27;LC BARRETO;1350.411355
28;ESTREITO TOC;4434.475968
29;SALTO OSORIO;1083.040597
30;SOBRADINHO;20005.1182
31;LAJEADO;4836.04383
32;CAMPOS NOVOS;1385.1236
33;TRES IRMAOS;11615.0794
34;BARRA GRANDE;2861.329412
35;CACH.DOURADA;428.806803
36;MOXOTO;1105
37;TRES MARIAS;11618.5794
38;PIMENTAL;2327.112484
39;CHAVANTES;6099.7617
40;ROSANA;1842.9748
41;TAQUARUCU;647.767448
42;CAPIVARA;5276.782
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;646.1815
47;LAJES;267.214
48;PARAIBUNA;2663.5308
49;SANTA BRANCA;260.7604
50;JAGUARI;679.6312
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3085.8659
59;CORUMBÁ III;736.615
60;CORUMBÁ I;594.424
61;BATALHA;803.215716
62;SERRA DO FACÃO;2175.981
63;NOVA PONTE;3554.838
64;MIRANDA;1096.66032
65;AMADOR AGUIAR I;235.800816
66;AMADOR AGUIAR II;868.05556
67;ESPORA;107.029135
68;SALTO;1182.774848
69;SALTO DO RIO VERDINHO;392.5026
70;CAÇU;225.8015
71;BARRA DOS COQUEIROS;332.536272
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;305.2704
74;ITUTINGA;11.21
75;FUNIL - GRANDE;267.918715
76;MASCARENHAS DE MORAES;2275.25
77;JAGUARA;405
78;IGARAPAVA;241.84
79;VOLTA GRANDE;2214.4396
80;PORTO COLÔMBIA;1418.28085
81;CACONDE;176.248001
82;E. DA CUNHA;13.34
83;A. S. OLIVEIRA;24.3
84;SÃO DOMINGOS;112.31
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;1839.4266
92;BARIRI;532.311962
93;IBITINGA;958.843125
94;PROMISSÃO;6036.25515
95;N.AVANHANDAVA;2604.8516
96;HENRY BORDEN;1
97;JURUMIRIM;4251.768904
98;PIRAJU;114.09
99;OURINHOS;22.34
100;L. N. GARCEZ;40.225184
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1605.136
104;SANTA CLARA - PR;298.4804
105;FUNDÃO;23.4
106;JORDÃO;110
107;BAIXO IGUAÇU;211.92
108;MANSO;5076.8291
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;86.11248
112;JAURU;17.15
113;PASSO FUNDO;701.739246
114;MONJOLINHO;142.373194
115;GARIBALDI;266.748272
116;QUEBRA-QUEIXO;125.020399
117;SÃO JOSÉ;179.231544
118;PASSO S. JOÃO;78.64789
119;FOZ DO CHAPECÓ;1438.710913
120;ERNESTINA;163.5
121;PASSO REAL;1910.1804
122;JACUÍ;26.624414
123;ITAÚBA;582.79136
124;DONA FRANCISCA;285.763824
125;CASTRO ALVES;87.6173758
126;MONTE CLARO;10.678838
127;14 DE JULHO;52.341283
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;47.2736
130;ROSAL;17
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.8
133;CANDONGA;19.4
134;BAGUARI;38.07
135;AIMORÉS;183.268298
136;MASCARENHAS;24.43
137;SALTO GRANDE;78
138;PORTO ESTRELA;79.885632
139;SANTA CLARA - MG;146
140;IRAPÉ;3717.977286
141;ITAPEBI;1616.439697
142;PEDRA DO CAVALO;114.5
143;RETIRO BAIXO;209.094263
144;QUEIMADO;147.98185
145;BOA ESPERANÇA;3388.1
146;CANA BRAVA;2230.8712
147;SÃO SALVADOR;919.979279
148;PEIXE ANGICAL;2510.425444
149;DARDANELOS;0.12
150;RONDON II;256.031984
151;GUAPORÉ;22.3389
152;SAMUEL;949.350504
153;BALBINA;10807.21565
154;SANTO ANTÔNIO JARI;123.961672
155;SINOP;1916.2132
156;COLÍDER;1496.533912
157;SÃO MANOEL;534.077709
158;CURUÁ-UNA;568.5306
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;138.8
161;FERREIRA GOMES;137.31
162;FONTES BC;37.2
</END>;;
