ITAIPU;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;1376.0;
TUCURUI;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;2061.0;
BELO MONTE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
JIRAU;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;9396.0;
STO ANTONIO;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;144.0;
I. SOLTEIRA;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;212.0;
XINGO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
P.AFONSO 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
ITUMBIARA;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;115.0;
TELES PIRES;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;353.0;
SAO SIMAO;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;511.0;
G.B. MUNHOZ;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;274.0;
JUPIA;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;
P. PRIMAVERA;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;
MARIMBONDO;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;215.0;
