<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
0;PAMPA SUL;0;0;FALSE;FALSE;4328
1;CANDIOTA 3;0;0;FALSE;FALSE;1772
2;P. PECEM-unit1;0;0;FALSE;FALSE;4650
3;P. PECEM-unit2;0;0;FALSE;FALSE;4507
4;P.ITAQUI;0;0;FALSE;FALSE;4641
5;PECEM 2;0;0;FALSE;FALSE;4966
6;J.LACERDA-C-unit7;0;0;FALSE;FALSE;286
7;J.LACERDA-B-unit5;80.01;1;FALSE;FALSE;272
8;J.LACERDA-B-unit6;0;0;FALSE;FALSE;960
9;J.LACERDA-A1-unit1;0;0;FALSE;FALSE;4056
10;J.LACERDA-A1-unit2;0;0;FALSE;FALSE;4149
11;J.LACERDA-A2-unit3;35.01;1;FALSE;FALSE;275
12;J.LACERDA-A2-unit4;35.0;1;FALSE;FALSE;246
13;ARAUCARIA-unit1;0;0;FALSE;FALSE;3958
14;ARAUCARIA-unit2;0;0;FALSE;FALSE;3958
15;ARAUCARIA-unit3;0;0;FALSE;FALSE;3958
16;CUBATAO-unit1;125.0;1;FALSE;FALSE;528
17;CUBATAO-unit2;0;0;FALSE;FALSE;456
18;SEROPEDICA-unit1;0;0;FALSE;FALSE;4848
19;SEROPEDICA-unit2;0;0;FALSE;FALSE;6958
20;SEROPEDICA-unit3;0;0;FALSE;FALSE;4825
21;SEROPEDICA-unit4;0;0;FALSE;FALSE;78
22;SEROPEDICA-unit5;0;0;FALSE;FALSE;6958
23;SEROPEDICA-unit6;0;0;FALSE;FALSE;5851
24;SEROPEDICA-unit7;0;0;FALSE;FALSE;5497
25;SEROPEDICA-unit8;0;0;FALSE;FALSE;5807
26;JARAQUI-unit6;23.6;1;FALSE;FALSE;108
27;JARAQUI-unit7;36.1;1;FALSE;FALSE;108
28;MANAUARA-unit1;16.7;1;FALSE;FALSE;96
29;MANAUARA-unit2;16.7;1;FALSE;FALSE;60
30;MANAUARA-unit3;14.899999999999999;1;FALSE;FALSE;60
31;MANAUARA-unit4;0;0;FALSE;FALSE;49
