<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27695.19
2;TUCURUI;38420.5738
3;BELO MONTE;2307.153382
4;JIRAU;1249.83
5;STO ANTONIO;2180.05
6;I. SOLTEIRA;19154.7398
7;XINGO;3764.6848
8;P.AFONSO 4;117.76205
9;ITUMBIARA;8726.409
10;TELES PIRES;897.22
11;SAO SIMAO;10649.198
12;G.B. MUNHOZ;3741.042
13;JUPIA;3353.56925
14;P. PRIMAVERA;15916.50954
15;MARIMBONDO;1936.74
16;ITAPARICA;9993.6344
17;ITA;4769.94881
18;SLT.SANTIAGO;4777.7272
19;P.AFONSO 123;24.95532
20;A. VERMELHA;7288.3299
21;FURNAS;13530.5793
22;SERRA MESA;26079.9
23;SEGREDO;2768.5712
24;SALTO CAXIAS;3350.433324
25;EMBORCACAO;8641.9408
26;MACHADINHO;2895.5315
27;LC BARRETO;1318.665025
28;ESTREITO TOC;5054.67024
29;SALTO OSORIO;1064.719112
30;SOBRADINHO;26326.6327
31;LAJEADO;4903.334445
32;CAMPOS NOVOS;1398.3901
33;TRES IRMAOS;12080.3495
34;BARRA GRANDE;4003.924538
35;CACH.DOURADA;507.770336
36;MOXOTO;1110.094
37;TRES MARIAS;15595.4428
38;PIMENTAL;2313.295236
39;CHAVANTES;7061.3259
40;ROSANA;1834.089992
41;TAQUARUCU;674.75805
42;CAPIVARA;8070.094
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;544.9045
47;LAJES;267.214
48;PARAIBUNA;2955.5996
49;SANTA BRANCA;228.5744
50;JAGUARI;740.1371
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3169.40852
59;CORUMBÁ III;867.3786
60;CORUMBÁ I;970.271
61;BATALHA;1031.899668
62;SERRA DO FACÃO;3256.2708
63;NOVA PONTE;6375.084
64;MIRANDA;1101.31952
65;AMADOR AGUIAR I;236.052872
66;AMADOR AGUIAR II;862.68184
67;ESPORA;141.68882
68;SALTO;1101.509482
69;SALTO DO RIO VERDINHO;387.92132
70;CAÇU;223.61765
71;BARRA DOS COQUEIROS;339.377392
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;578.3712
74;ITUTINGA;11.21
75;FUNIL - GRANDE;267.154633
76;MASCARENHAS DE MORAES;2690.75
77;JAGUARA;381.33
78;IGARAPAVA;241.84
79;VOLTA GRANDE;2099.816
80;PORTO COLÔMBIA;1413.84435
81;CACONDE;332.717537
82;E. DA CUNHA;13.34
83;A. S. OLIVEIRA;22.897948
84;SÃO DOMINGOS;112.31
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;2563.0386
92;BARIRI;535.504884
93;IBITINGA;954.838125
94;PROMISSÃO;6146.23656
95;N.AVANHANDAVA;2673.4668
96;HENRY BORDEN;1
97;JURUMIRIM;4935.010362
98;PIRAJU;114.09
99;OURINHOS;22.34
100;L. N. GARCEZ;41.135344
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1946.3656
104;SANTA CLARA - PR;371.526
105;FUNDÃO;28.62792
106;JORDÃO;110
107;BAIXO IGUAÇU;210.033864
108;MANSO;5655.5202
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;81.16656
112;JAURU;17.15
113;PASSO FUNDO;1210.910371
114;MONJOLINHO;146.72896
115;GARIBALDI;296
116;QUEBRA-QUEIXO;122.910722
117;SÃO JOSÉ;175.740676
118;PASSO S. JOÃO;90.09691
119;FOZ DO CHAPECÓ;1465.20488
120;ERNESTINA;163.5
121;PASSO REAL;3021.9768
122;JACUÍ;21.873242
123;ITAÚBA;569.91388
124;DONA FRANCISCA;326.784416
125;CASTRO ALVES;87.16
126;MONTE CLARO;9.89
127;14 DE JULHO;54.179125
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;81.4844
130;ROSAL;16.9958
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.771755
133;CANDONGA;19.4
134;BAGUARI;37.41165
135;AIMORÉS;184.628587
136;MASCARENHAS;17.812
137;SALTO GRANDE;78
138;PORTO ESTRELA;79.441824
139;SANTA CLARA - MG;146
140;IRAPÉ;4435.11322
141;ITAPEBI;1624.13598
142;PEDRA DO CAVALO;114.5
143;RETIRO BAIXO;200.72
144;QUEIMADO;345.1491
145;BOA ESPERANÇA;4311.4048
146;CANA BRAVA;2238.0265
147;SÃO SALVADOR;937.008719
148;PEIXE ANGICAL;2545.0902
149;DARDANELOS;0.12
150;RONDON II;272.111928
151;GUAPORÉ;22.544515
152;SAMUEL;2070.932862
153;BALBINA;14632.58496
154;SANTO ANTÔNIO JARI;133.266246
155;SINOP;1204.28016
156;COLÍDER;1503.145768
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;591.29922
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;138.754308
161;FERREIRA GOMES;123.62981
162;FONTES BC;37.2
</END>;;
