<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Comments
1;g1;0.0;171.20876852253969;0.0;119.85;119.85;1;1;2;0;9423.77;0;
2;g2;402.08447449504956;1199.0066164079078;8799.770045848049;839.3;839.3;1;1;6;0;88354.02;0;
3;g3;0.0;524.68;806.053614555652;367.28;367.28;1;1;8;0;6883.09;0;
4;g4;169.67948822258816;499.7808865455713;5831.7643768204325;349.85;349.85;4;4;18;0;39992.03;0;
5;g5;3.3898983447187963;399.8464951692958;821.251346831996;279.89;279.89;1;1;25;0;8140.27;0;
6;g6;3.982744589825245;15.98240425096318;2203.9598795256375;11.19;11.19;2;2;32;0;1842.34;0;
7;g7;0.62337089365336;4.7385394205647;0.0;3.32;3.32;4;4;33;0;116.34;0;
8;g8;0.0;31.955073288801294;0.0;22.37;22.37;1;1;39;0;5860.45;0;
9;g9;0.0;480.0;900.641418621802;336.0;336.0;2;2;49;0;5391.68;0;
10;g10;0.0;256.64527655940987;0.0;179.65;179.65;2;2;51;0;8936.63;0;
11;g11;30.49364295646016;91.96438663955578;2936.088626799122;64.38;64.38;2;2;80;0;5523.59;0;
12;g12;219.40913494768182;599.6866013585945;8390.820791702326;419.78;419.78;4;4;107;0;59036.5;0;
