<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27695.19
2;TUCURUI;43550.605
3;BELO MONTE;2344.981594
4;JIRAU;1254.919358
5;STO ANTONIO;2236.45975
6;I. SOLTEIRA;18990.9292
7;XINGO;3775.603
8;P.AFONSO 4;118.94795
9;ITUMBIARA;10168.5822
10;TELES PIRES;897.22
11;SAO SIMAO;10205.444
12;G.B. MUNHOZ;3591.125
13;JUPIA;3353.56925
14;P. PRIMAVERA;16298.33466
15;MARIMBONDO;2826.732
16;ITAPARICA;10321.8244
17;ITA;5016.883385
18;SLT.SANTIAGO;4471.72
19;P.AFONSO 123;24.3536
20;A. VERMELHA;7670.8359
21;FURNAS;14468.9058
22;SERRA MESA;26914.625
23;SEGREDO;2729.6548
24;SALTO CAXIAS;3542.292708
25;EMBORCACAO;9316.936
26;MACHADINHO;3028.8192
27;LC BARRETO;1288.165745
28;ESTREITO TOC;4983.900192
29;SALTO OSORIO;1097.375649
30;SOBRADINHO;27636.806
31;LAJEADO;4946.892456
32;CAMPOS NOVOS;1477
33;TRES IRMAOS;12044.8248
34;BARRA GRANDE;4338.524454
35;CACH.DOURADA;430.737072
36;MOXOTO;1127.68
37;TRES MARIAS;16434.205
38;PIMENTAL;2431.678918
39;CHAVANTES;6959.7565
40;ROSANA;1854.38648
41;TAQUARUCU;673.155742
42;CAPIVARA;7354.594
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;525.363
47;LAJES;267.214
48;PARAIBUNA;3068.1568
49;SANTA BRANCA;242.7116
50;JAGUARI;818.882
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3277.01882
59;CORUMBÁ III;838.7905
60;CORUMBÁ I;1141.457
61;BATALHA;1159.081464
62;SERRA DO FACÃO;3385.878
63;NOVA PONTE;6819.348
64;MIRANDA;1075.89776
65;AMADOR AGUIAR I;236.009148
66;AMADOR AGUIAR II;871.3252
67;ESPORA;161.499405
68;SALTO;1139.88379
69;SALTO DO RIO VERDINHO;389.12516
70;CAÇU;228.9893
71;BARRA DOS COQUEIROS;335.554976
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;676.6176
74;ITUTINGA;11.21
75;FUNIL - GRANDE;268.93
76;MASCARENHAS DE MORAES;2811
77;JAGUARA;405.045
78;IGARAPAVA;241.84
79;VOLTA GRANDE;2069.9876
80;PORTO COLÔMBIA;1389.65375
81;CACONDE;380.001179
82;E. DA CUNHA;13.34
83;A. S. OLIVEIRA;22.701628
84;SÃO DOMINGOS;112.31
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;2681.3312
92;BARIRI;523.846595
93;IBITINGA;954.916875
94;PROMISSÃO;6226.43577
95;N.AVANHANDAVA;2684.7302
96;HENRY BORDEN;1
97;JURUMIRIM;4976.783346
98;PIRAJU;114.09
99;OURINHOS;22.34
100;L. N. GARCEZ;39.482376
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1843.3792
104;SANTA CLARA - PR;431
105;FUNDÃO;23.4
106;JORDÃO;110
107;BAIXO IGUAÇU;202.904616
108;MANSO;5811.0379
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;87.49104
112;JAURU;17.15
113;PASSO FUNDO;1296.170198
114;MONJOLINHO;148.265062
115;GARIBALDI;296
116;QUEBRA-QUEIXO;129.976992
117;SÃO JOSÉ;188.11
118;PASSO S. JOÃO;102.34771
119;FOZ DO CHAPECÓ;1480.397854
120;ERNESTINA;163.5
121;PASSO REAL;3089.3584
122;JACUÍ;22.631771
123;ITAÚBA;577.71314
124;DONA FRANCISCA;330
125;CASTRO ALVES;91.766
126;MONTE CLARO;11.35
127;14 DE JULHO;55.18
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;83.5904
130;ROSAL;16.9958
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.780295
133;CANDONGA;19.4
134;BAGUARI;34.745
135;AIMORÉS;184.628587
136;MASCARENHAS;24.43
137;SALTO GRANDE;78
138;PORTO ESTRELA;85.002672
139;SANTA CLARA - MG;146
140;IRAPÉ;4674.035439
141;ITAPEBI;1621.47267
142;PEDRA DO CAVALO;114.5
143;RETIRO BAIXO;205.902316
144;QUEIMADO;401.1132
145;BOA ESPERANÇA;4509.1056
146;CANA BRAVA;2285.7285
147;SÃO SALVADOR;923.870033
148;PEIXE ANGICAL;2471.546128
149;DARDANELOS;0.12
150;RONDON II;318.234472
151;GUAPORÉ;22.371085
152;SAMUEL;2358.086508
153;BALBINA;15372.74657
154;SANTO ANTÔNIO JARI;128.647056
155;SINOP;1079.10512
156;COLÍDER;1498.591584
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;594.26904
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;138.754308
161;FERREIRA GOMES;125.063778
162;FONTES BC;37.2
</END>;;
