ITAIPU;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;
TUCURUI;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;11471.0;
BELO MONTE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
JIRAU;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;35559.0;
STO ANTONIO;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;1207.0;
I. SOLTEIRA;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;382.0;
XINGO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
P.AFONSO 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
ITUMBIARA;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;305.0;
TELES PIRES;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;1609.0;
