<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27975.24921
2;TUCURUI;24839.245
3;BELO MONTE;2103.564586
4;JIRAU;2675.448988
5;STO ANTONIO;2077.3
6;I. SOLTEIRA;18709.4828
7;XINGO;3770.5562
8;P.AFONSO 4;118.38155
9;ITUMBIARA;7108.6344
10;TELES PIRES;897.22
11;SAO SIMAO;8445.94
12;G.B. MUNHOZ;4990.604
13;JUPIA;3185.019875
14;P. PRIMAVERA;15732.8875
15;MARIMBONDO;1971.982
16;ITAPARICA;8765.3168
17;ITA;4861.54199
18;SLT.SANTIAGO;5940.8836
19;P.AFONSO 123;24.8583
20;A. VERMELHA;6923.3985
21;FURNAS;10925.6472
22;SERRA MESA;21555.95
23;SEGREDO;2857.8888
24;SALTO CAXIAS;3482.012748
25;EMBORCACAO;6541.2304
26;MACHADINHO;3026.3881
27;LC BARRETO;1330.90393
28;ESTREITO TOC;3913.503216
29;SALTO OSORIO;1097.134047
30;SOBRADINHO;20561.2968
31;LAJEADO;5112.490077
32;CAMPOS NOVOS;1422.9292
33;TRES IRMAOS;11950.6671
34;BARRA GRANDE;4288.751072
35;CACH.DOURADA;437.836912
36;MOXOTO;1118.914
37;TRES MARIAS;13676.526
38;PIMENTAL;2276.29
39;CHAVANTES;6230.8288
40;ROSANA;1856.342768
41;TAQUARUCU;662.754553
42;CAPIVARA;7305.3676
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;678.065
47;LAJES;267.214
48;PARAIBUNA;3213.4004
49;SANTA BRANCA;263.8096
50;JAGUARI;887.3972
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3366.2698
59;CORUMBÁ III;870.0875
60;CORUMBÁ I;1209.128
61;BATALHA;927.829548
62;SERRA DO FACÃO;2289.0426
63;NOVA PONTE;3876.618
64;MIRANDA;1072.66544
65;AMADOR AGUIAR I;233.329124
66;AMADOR AGUIAR II;867.90112
67;ESPORA;127.21684
68;SALTO;1187.4
69;SALTO DO RIO VERDINHO;392.62382
70;CAÇU;230.4728
71;BARRA DOS COQUEIROS;337.195888
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;544.6368
74;ITUTINGA;8.754448
75;FUNIL - GRANDE;268.178176
76;MASCARENHAS DE MORAES;2287
77;JAGUARA;429.201
78;IGARAPAVA;236.621308
79;VOLTA GRANDE;2120.7736
80;PORTO COLÔMBIA;1466.6387
81;CACONDE;242.233382
82;E. DA CUNHA;13.34
83;A. S. OLIVEIRA;22.323712
84;SÃO DOMINGOS;125.07128
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;2082.94
92;BARIRI;518.92761
93;IBITINGA;954.343125
94;PROMISSÃO;6237.285
95;N.AVANHANDAVA;2677.009
96;HENRY BORDEN;1
97;JURUMIRIM;4689.752312
98;PIRAJU;105.925438
99;OURINHOS;22.22105
100;L. N. GARCEZ;39.100696
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1934.4136
104;SANTA CLARA - PR;411.6382
105;FUNDÃO;30.6
106;JORDÃO;110
107;BAIXO IGUAÇU;211.92
108;MANSO;5099.2567
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;95.89296
112;JAURU;17.15
113;PASSO FUNDO;696.120806
114;MONJOLINHO;144.15964
115;GARIBALDI;270.159416
116;QUEBRA-QUEIXO;122.533174
117;SÃO JOSÉ;174.401682
118;PASSO S. JOÃO;98.37118
119;FOZ DO CHAPECÓ;1473.401287
120;ERNESTINA;137.945
121;PASSO REAL;1765.2864
122;JACUÍ;27.263432
123;ITAÚBA;601.22166
124;DONA FRANCISCA;299.608352
125;CASTRO ALVES;88.8706684
126;MONTE CLARO;11.35
127;14 DE JULHO;53.974711
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;94.838
130;ROSAL;17
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.8
133;CANDONGA;19.4
134;BAGUARI;38.07
135;AIMORÉS;184.65
136;MASCARENHAS;24.43
137;SALTO GRANDE;78
138;PORTO ESTRELA;77.080368
139;SANTA CLARA - MG;146
140;IRAPÉ;3931.788669
141;ITAPEBI;1619.581037
142;PEDRA DO CAVALO;113.1655
143;RETIRO BAIXO;240.331204
144;QUEIMADO;288.400025
145;BOA ESPERANÇA;4009.6912
146;CANA BRAVA;2231.6141
147;SÃO SALVADOR;939.143312
148;PEIXE ANGICAL;2414.649568
149;DARDANELOS;0.12
150;RONDON II;374.399828
151;GUAPORÉ;22.63
152;SAMUEL;1927.61106
153;BALBINA;12438.86537
154;SANTO ANTÔNIO JARI;115.180894
155;SINOP;2572.35276
156;COLÍDER;1494.96384
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;559.66828
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;105.147842
161;FERREIRA GOMES;122.028433
162;FONTES BC;37.2
</END>;;
