<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27695.19
2;TUCURUI;23732.1562
3;BELO MONTE;2130.906538
4;JIRAU;2746.7
5;STO ANTONIO;2115.8107
6;I. SOLTEIRA;18946.4035
7;XINGO;3761.7522
8;P.AFONSO 4;115.59085
9;ITUMBIARA;6590.548
10;TELES PIRES;897.22
11;SAO SIMAO;8084.178
12;G.B. MUNHOZ;4003.9675
13;JUPIA;3223.9715
14;P. PRIMAVERA;15787.99882
15;MARIMBONDO;2146.088
16;ITAPARICA;9015.4508
17;ITA;4880.21168
18;SLT.SANTIAGO;4380.4114
19;P.AFONSO 123;24.23208
20;A. VERMELHA;6795.2073
21;FURNAS;10044.1368
22;SERRA MESA;20215.2
23;SEGREDO;2754.7584
24;SALTO CAXIAS;3455.309544
25;EMBORCACAO;6193.9408
26;MACHADINHO;2904.7274
27;LC BARRETO;1303.237235
28;ESTREITO TOC;4127.247888
29;SALTO OSORIO;1085.657952
30;SOBRADINHO;20228.7364
31;LAJEADO;4876.177014
32;CAMPOS NOVOS;1477
33;TRES IRMAOS;12082.7638
34;BARRA GRANDE;3582.056754
35;CACH.DOURADA;461.22201
36;MOXOTO;1105.072
37;TRES MARIAS;12738.4568
38;PIMENTAL;2276.29
39;CHAVANTES;6169.4006
40;ROSANA;1843.9937
41;TAQUARUCU;639.065258
42;CAPIVARA;6287.068
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;650.961
47;LAJES;267.214
48;PARAIBUNA;3022.2904
49;SANTA BRANCA;260.7604
50;JAGUARI;822.1333
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.0809064
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3108.69934
59;CORUMBÁ III;765.1505
60;CORUMBÁ I;917.741
61;BATALHA;832.003944
62;SERRA DO FACÃO;2227.686
63;NOVA PONTE;3722.994
64;MIRANDA;1071.83552
65;AMADOR AGUIAR I;232.62311
66;AMADOR AGUIAR II;866.24452
67;ESPORA;124.38844
68;SALTO;1187.4
69;SALTO DO RIO VERDINHO;393.53506
70;CAÇU;230.82815
71;BARRA DOS COQUEIROS;336.703136
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;474.816
74;ITUTINGA;10.70664
75;FUNIL - GRANDE;267.593197
76;MASCARENHAS DE MORAES;2297
77;JAGUARA;430.29
78;IGARAPAVA;232.640083
79;VOLTA GRANDE;2088.962
80;PORTO COLÔMBIA;1384.9137
81;CACONDE;251.609456
82;E. DA CUNHA;12.65526
83;A. S. OLIVEIRA;22.423508
84;SÃO DOMINGOS;120.331376
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;2147.09
92;BARIRI;516.029238
93;IBITINGA;963.073125
94;PROMISSÃO;6276.64005
95;N.AVANHANDAVA;2700.5706
96;HENRY BORDEN;1
97;JURUMIRIM;4606.839268
98;PIRAJU;107.98656
99;OURINHOS;22.34
100;L. N. GARCEZ;40.498232
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1778.772
104;SANTA CLARA - PR;431
105;FUNDÃO;30.6
106;JORDÃO;110
107;BAIXO IGUAÇU;195.387264
108;MANSO;5063.8447
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;96.21936
112;JAURU;17.15
113;PASSO FUNDO;591.758283
114;MONJOLINHO;144.912868
115;GARIBALDI;296
116;QUEBRA-QUEIXO;136.63
117;SÃO JOSÉ;172.7556
118;PASSO S. JOÃO;81.9322
119;FOZ DO CHAPECÓ;1433.469112
120;ERNESTINA;144.8325
121;PASSO REAL;1714.868
122;JACUÍ;28.739027
123;ITAÚBA;580.45
124;DONA FRANCISCA;281.472208
125;CASTRO ALVES;91.766
126;MONTE CLARO;10.87112
127;14 DE JULHO;55.18
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;75.7904
130;ROSAL;17
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.764335
133;CANDONGA;19.4
134;BAGUARI;36.5006
135;AIMORÉS;181.31408
136;MASCARENHAS;19.3486996
137;SALTO GRANDE;78
138;PORTO ESTRELA;88.185504
139;SANTA CLARA - MG;146
140;IRAPÉ;3644.121886
141;ITAPEBI;1628.36996
142;PEDRA DO CAVALO;113.3406
143;RETIRO BAIXO;230.031964
144;QUEIMADO;238.2078
145;BOA ESPERANÇA;3785.2224
146;CANA BRAVA;2238.7694
147;SÃO SALVADOR;924.739244
148;PEIXE ANGICAL;2398.686922
149;DARDANELOS;0.12
150;RONDON II;311.739548
151;GUAPORÉ;22.55292
152;SAMUEL;1145.971695
153;BALBINA;12173.27191
154;SANTO ANTÔNIO JARI;108.541348
155;SINOP;2335.79664
156;COLÍDER;1484.890024
157;SÃO MANOEL;564.301756
158;CURUÁ-UNA;561.88386
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;134.093724
161;FERREIRA GOMES;124.318047
162;FONTES BC;37.2
</END>;;
