<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
0;PAMPA SUL;0;0;FALSE;FALSE;24
1;CANDIOTA 3;310.0;1;FALSE;FALSE;246
2;P. PECEM-unit1;360.0;1;FALSE;FALSE;1152
3;P. PECEM-unit2;0;0;FALSE;FALSE;72
4;P.ITAQUI;360.0;1;FALSE;FALSE;232
5;PECEM 2;365.0;1;FALSE;FALSE;497
6;J.LACERDA-C-unit7;310.0;1;FALSE;FALSE;1186
7;J.LACERDA-B-unit5;89.0;1;FALSE;FALSE;481
8;J.LACERDA-B-unit6;131.0;1;FALSE;FALSE;481
9;J.LACERDA-A1-unit1;0;0;FALSE;FALSE;427
10;J.LACERDA-A1-unit2;47.0;1;FALSE;FALSE;470
11;J.LACERDA-A2-unit3;66.0;1;FALSE;FALSE;574
12;J.LACERDA-A2-unit4;44.0;1;FALSE;FALSE;536
13;ARAUCARIA-unit1;0;0;FALSE;FALSE;2876
14;ARAUCARIA-unit2;0;0;FALSE;FALSE;2876
15;ARAUCARIA-unit3;0;0;FALSE;FALSE;2876
16;CUBATAO-unit1;161.0;1;FALSE;FALSE;144
17;CUBATAO-unit2;0;0;FALSE;FALSE;144
18;SEROPEDICA-unit1;0;0;FALSE;FALSE;1294
19;SEROPEDICA-unit2;0;0;FALSE;FALSE;1294
20;SEROPEDICA-unit3;0;0;FALSE;FALSE;257
21;SEROPEDICA-unit4;0;0;FALSE;FALSE;1294
22;SEROPEDICA-unit5;0;0;FALSE;FALSE;1294
23;SEROPEDICA-unit6;0;0;FALSE;FALSE;187
24;SEROPEDICA-unit7;0;0;FALSE;FALSE;169
25;SEROPEDICA-unit8;0;0;FALSE;FALSE;143
26;JARAQUI-unit6;23.9;1;FALSE;FALSE;2622
27;JARAQUI-unit7;36.1;1;FALSE;FALSE;2622
28;MANAUARA-unit1;11.6;1;FALSE;FALSE;1950
29;MANAUARA-unit2;10.0;1;FALSE;FALSE;1992
30;MANAUARA-unit3;10.0;1;FALSE;FALSE;169
31;MANAUARA-unit4;16.7;1;FALSE;FALSE;96
32;MANAUARA-unit5;16.7;1;FALSE;FALSE;648
33;N.FLU_DESSEM-unit1;177.7;1;FALSE;FALSE;2876
34;N.FLU_DESSEM-unit2;178.2;1;FALSE;FALSE;2876
35;N.FLU_DESSEM-unit3;179.8;1;FALSE;FALSE;2876
36;N.FLU_DESSEM-unit4;189.30000000000007;1;FALSE;FALSE;2876
37;P. NEGRA-unit1;16.5;1;FALSE;FALSE;2482
38;P. NEGRA-unit2;16.5;1;FALSE;FALSE;2482
39;P. NEGRA-unit3;16.5;1;FALSE;FALSE;2482
40;P. NEGRA-unit4;14.499999999999998;1;FALSE;FALSE;2482
41;TERMORIO-unit1;105.0;1;FALSE;FALSE;598
42;TERMORIO-unit2;105.0;1;FALSE;FALSE;598
43;TERMORIO-unit3;105.0;1;FALSE;FALSE;598
44;TERMORIO-unit4;105.0;1;FALSE;FALSE;598
45;TERMORIO-unit5;105.0;1;FALSE;FALSE;598
46;TERMORIO-unit6;105.0;1;FALSE;FALSE;598
47;TERMORIO-unit7;110.00000000000001;1;FALSE;FALSE;598
48;TERMORIO-unit8;109.99999999999997;1;FALSE;FALSE;598
49;T.LAGOAS-unit1;45.0;1;FALSE;FALSE;2544
50;T.LAGOAS-unit2;45.0;1;FALSE;FALSE;2544
51;T.LAGOAS-unit3;45.0;1;FALSE;FALSE;2544
52;T.LAGOAS-unit4;45.0;1;FALSE;FALSE;2544
53;T.LAGOAS-unit5;45.0;1;FALSE;FALSE;2544
54;T.LAGOAS-unit6;45.0;1;FALSE;FALSE;2544
55;MARANHAO 3-unit1;155.0;1;FALSE;FALSE;1079
56;MARANHAO 3-unit2;155.0;1;FALSE;FALSE;1079
57;MARANHAO 3-unit3;181.2;1;FALSE;FALSE;1079
58;TERMOPERNAMB-unit1;164.7;1;FALSE;FALSE;2069
59;TERMOPERNAMB-unit2;160.5;1;FALSE;FALSE;2069
60;TERMOPERNAMB-unit3;207.80000000000004;1;FALSE;FALSE;2069
61;B FLUMINENSE-unit1;0;0;FALSE;FALSE;504
62;B FLUMINENSE-unit2;130.0;1;FALSE;FALSE;504
63;B FLUMINENSE-unit3;130.0;1;FALSE;FALSE;504
64;MARANHAO 4-unit1;168.8;1;FALSE;FALSE;1873
65;MARANHAO 4-unit2;168.8;1;FALSE;FALSE;2040
66;MARANHAO 5-unit1;168.8;1;FALSE;FALSE;1897
67;MARANHAO 5-unit2;168.8;1;FALSE;FALSE;24
68;FORTALEZA-unit1;0;0;FALSE;FALSE;696
69;FORTALEZA-unit2;0;0;FALSE;FALSE;1369
70;FORTALEZA-unit3;0;0;FALSE;FALSE;1369
71;LINHARES-unit1;51.0;1;FALSE;FALSE;481
72;LINHARES-unit2;51.0;1;FALSE;FALSE;481
73;LINHARES-unit3;51.0;1;FALSE;FALSE;481
74;LINHARES-unit4;51.0;1;FALSE;FALSE;481
75;N VENECIA;0;0;FALSE;FALSE;831
76;J.DEFORA-unit1;0;0;FALSE;FALSE;6
77;J.DEFORA-unit2;0;0;FALSE;FALSE;7
78;RALMEIDA(L)-unit1;0;0;FALSE;FALSE;336
79;RALMEIDA(L)-unit2;0;0;FALSE;FALSE;1828
80;RALMEIDA(L)-unit3;0;0;FALSE;FALSE;191
81;RALMEIDA(L)-unit4;0;0;FALSE;FALSE;2544
82;IBIRITE-gas;0;0;FALSE;FALSE;70
83;IBIRITE-steam;0.0;0;FALSE;FALSE;3600
84;TERMOCEARA(L)-unit1;0;0;FALSE;FALSE;673
85;TERMOCEARA(L)-unit2;0;0;FALSE;FALSE;679
86;TERMOCEARA(L)-unit3;0;0;FALSE;FALSE;674
87;TERMOCEARA(L)-unit4;0;0;FALSE;FALSE;673
88;TERMOBAHIA;160.0;1;FALSE;FALSE;2544
89;VALE DO ACU-unit1;0;0;FALSE;FALSE;1464
90;VALE DO ACU-unit2;155.0;1;FALSE;FALSE;1463
91;URUGUAIANA-unit1;0;0;FALSE;FALSE;2876
92;URUGUAIANA-unit2;0;0;FALSE;FALSE;2876
93;URUGUAIANA-unit3;0;0;FALSE;FALSE;2876
94;M.COVAS-unit1;0;0;FALSE;FALSE;313
95;M.COVAS-unit2;0;0;FALSE;FALSE;313
96;M.COVAS-unit3;0;0;FALSE;FALSE;313
97;NPIRATININGA-unit1;0;0;FALSE;FALSE;5592
98;NPIRATININGA-unit2;0;0;FALSE;FALSE;5592
99;NPIRATININGA-unit3;0;0;FALSE;FALSE;5592
100;NPIRATININGA-unit4;0;0;FALSE;FALSE;5055
101;NPIRATININGA-unit5;0;0;FALSE;FALSE;5055
102;NPIRATININGA-unit6;0;0;FALSE;FALSE;2051
103;TERMOMACAE-unit1;0;0;FALSE;FALSE;140
104;TERMOMACAE-unit2;0;0;FALSE;FALSE;2544
105;TERMOMACAE-unit3;0;0;FALSE;FALSE;2544
106;TERMOMACAE-unit4;0;0;FALSE;FALSE;2544
107;TERMOMACAE-unit5;0;0;FALSE;FALSE;2544
108;TERMOMACAE-unit6;0;0;FALSE;FALSE;2544
109;TERMOMACAE-unit7;0;0;FALSE;FALSE;2544
110;TERMOMACAE-unit8;0;0;FALSE;FALSE;2544
111;TERMOMACAE-unit9;0;0;FALSE;FALSE;2544
112;TERMOMACAE-unit10;0;0;FALSE;FALSE;2544
113;TERMOMACAE-unit11;0;0;FALSE;FALSE;2544
114;TERMOMACAE-unit12;0;0;FALSE;FALSE;144
115;TERMOMACAE-unit13;0;0;FALSE;FALSE;2544
116;TERMOMACAE-unit14;0;0;FALSE;FALSE;244
117;TERMOMACAE-unit15;0;0;FALSE;FALSE;2544
118;TERMOMACAE-unit16;0;0;FALSE;FALSE;2544
119;TERMOMACAE-unit17;0;0;FALSE;FALSE;2544
120;TERMOMACAE-unit18;0;0;FALSE;FALSE;2544
121;TERMOMACAE-unit19;0;0;FALSE;FALSE;144
122;TERMOMACAE-unit20;0;0;FALSE;FALSE;2544
123;S.TIARAJU(L)-gas;0;0;FALSE;FALSE;1890
124;S.TIARAJU(L)-steam;0.0;0;FALSE;FALSE;3600
125;TNORTE 2-unit1;0;0;FALSE;FALSE;2544
126;TNORTE 2-unit2;0;0;FALSE;FALSE;2544
127;TNORTE 2-unit3;0;0;FALSE;FALSE;2544
128;TNORTE 2-unit4;0;0;FALSE;FALSE;2544
129;APAREC B1-unit1;43.0;1;FALSE;FALSE;96
130;APAREC B1-unit2;0;0;FALSE;FALSE;96
131;APAREC B1-unit3;40.0;1;FALSE;FALSE;679
132;APAREC B1-unit4;0;0;FALSE;FALSE;171
133;SUZANO MA;0.0;0;FALSE;FALSE;3600
134;ANGRA 2;1350.0;1;FALSE;FALSE;2544
135;ANGRA 1;0;0;FALSE;FALSE;144
136;CRIST.ROCHA-unit1;17.1;1;FALSE;FALSE;2876
137;CRIST.ROCHA-unit2;17.1;1;FALSE;FALSE;2876
138;CRIST.ROCHA-unit3;17.1;1;FALSE;FALSE;168
139;CRIST.ROCHA-unit4;9.7;1;FALSE;FALSE;96
140;CRIST.ROCHA-unit5;4.0;1;FALSE;FALSE;1585
141;TAMBAQUI-unit1;10.0;1;FALSE;FALSE;168
142;TAMBAQUI-unit2;25.0;1;FALSE;FALSE;1000
143;TAMBAQUI-unit3;25.0;1;FALSE;FALSE;144
144;MARACANAU-unit1;0;0;FALSE;FALSE;189
145;MARACANAU-unit2;0;0;FALSE;FALSE;2876
146;MARACANAU-unit3;0;0;FALSE;FALSE;189
147;MARACANAU-unit4;0;0;FALSE;FALSE;189
148;MARACANAU-unit5;0;0;FALSE;FALSE;189
149;MARACANAU-unit6;0;0;FALSE;FALSE;189
150;MARACANAU-unit7;0;0;FALSE;FALSE;189
151;MARACANAU-unit8;0;0;FALSE;FALSE;189
152;T.NORDESTE-unit1;0;0;FALSE;FALSE;774
153;T.NORDESTE-unit2;0;0;FALSE;FALSE;381
154;T.NORDESTE-unit3;0;0;FALSE;FALSE;774
155;T.PARAIBA-unit1;0;0;FALSE;FALSE;182
156;T.PARAIBA-unit2;0;0;FALSE;FALSE;222
157;T.PARAIBA-unit3;0;0;FALSE;FALSE;172
158;GERAMAR I-unit1;0;0;FALSE;FALSE;2876
159;GERAMAR I-unit2;0;0;FALSE;FALSE;2876
160;GERAMAR I-unit3;0;0;FALSE;FALSE;2876
161;GERAMAR I-unit4;0;0;FALSE;FALSE;2876
162;GERAMAR I-unit5;0.0;0;FALSE;FALSE;3600
163;GERAMAR I-unit6;0.0;0;FALSE;FALSE;3600
164;GERAMAR I-unit7;0.0;0;FALSE;FALSE;3600
165;GERAMAR I-unit8;0.0;0;FALSE;FALSE;3600
166;GERAMAR I-unit9;0.0;0;FALSE;FALSE;3600
167;GERAMAR I-unit10;0.0;0;FALSE;FALSE;3600
168;GERAMAR I-unit11;0.0;0;FALSE;FALSE;3600
169;GERAMAR I-unit12;0.0;0;FALSE;FALSE;3600
