<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27793.61227
2;TUCURUI;21549.1642
3;BELO MONTE;2265.63556
4;JIRAU;2746.7
5;STO ANTONIO;2282.8
6;I. SOLTEIRA;18783.6923
7;XINGO;3775.2
8;P.AFONSO 4;116.90655
9;ITUMBIARA;7346.5058
10;TELES PIRES;897.22
11;SAO SIMAO;9531.226
12;G.B. MUNHOZ;2577.0925
13;JUPIA;3148.7795
14;P. PRIMAVERA;15875.60854
15;MARIMBONDO;2996.104
16;ITAPARICA;8551.3724
17;ITA;4748.56643
18;SLT.SANTIAGO;3401.1061
19;P.AFONSO 123;26
20;A. VERMELHA;7203.0414
21;FURNAS;8709.8193
22;SERRA MESA;16110.775
23;SEGREDO;2649.494
24;SALTO CAXIAS;3392.083776
25;EMBORCACAO;6795.8224
26;MACHADINHO;2471.9916
27;LC BARRETO;1316.29563
28;ESTREITO TOC;4456.95024
29;SALTO OSORIO;1067.497535
30;SOBRADINHO;14672.6842
31;LAJEADO;5193.48
32;CAMPOS NOVOS;1376.4886
33;TRES IRMAOS;11899.9668
34;BARRA GRANDE;3015.254144
35;CACH.DOURADA;418.312352
36;MOXOTO;1106.962
37;TRES MARIAS;15019.4622
38;PIMENTAL;2443.364782
39;CHAVANTES;6283.7422
40;ROSANA;1822.311508
41;TAQUARUCU;668.169249
42;CAPIVARA;7345.4356
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;649.8115
47;LAJES;382.913332
48;PARAIBUNA;3074.7468
49;SANTA BRANCA;281.0576
50;JAGUARI;885.7319
51;SANTA CECÍLIA;5.2
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3237.8317
59;CORUMBÁ III;828.0601
60;CORUMBÁ I;1104.686
61;BATALHA;978.513048
62;SERRA DO FACÃO;2402.7936
63;NOVA PONTE;4376.934
64;MIRANDA;1093.76288
65;AMADOR AGUIAR I;239.058254
66;AMADOR AGUIAR II;865.801
67;ESPORA;122.514625
68;SALTO;1174.716966
69;SALTO DO RIO VERDINHO;390.62996
70;CAÇU;227.8094
71;BARRA DOS COQUEIROS;335.708064
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;416.0832
74;ITUTINGA;8.394
75;FUNIL - GRANDE;268.809463
76;MASCARENHAS DE MORAES;2848.5
77;JAGUARA;409.329
78;IGARAPAVA;241.84
79;VOLTA GRANDE;2113.216
80;PORTO COLÔMBIA;1441.72425
81;CACONDE;326.466821
82;E. DA CUNHA;13.34
83;A. S. OLIVEIRA;23.655416
84;SÃO DOMINGOS;131.3
85;GUARAPIRANGA;152.046324
86;BILLINGS;855.39085
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;2073.1892
92;BARIRI;530.47397
93;IBITINGA;972.945
94;PROMISSÃO;6055.61358
95;N.AVANHANDAVA;2699.2174
96;HENRY BORDEN;1
97;JURUMIRIM;4928.048198
98;PIRAJU;107.240584
99;OURINHOS;22.34
100;L. N. GARCEZ;39.379616
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1519.9448
104;SANTA CLARA - PR;207.0686
105;FUNDÃO;30.6
106;JORDÃO;110
107;BAIXO IGUAÇU;204.024432
108;MANSO;5913.1425
109;ITIQUIRA I;5
110;ITIQUIRA II;0.72
111;PONTE PEDRA;100.78512
112;JAURU;17.15
113;PASSO FUNDO;572.655587
114;MONJOLINHO;145.453084
115;GARIBALDI;257.387096
116;QUEBRA-QUEIXO;126.107125
117;SÃO JOSÉ;175.31843
118;PASSO S. JOÃO;89.92759
119;FOZ DO CHAPECÓ;1430.312033
120;ERNESTINA;242.1125
121;PASSO REAL;2441.694
122;JACUÍ;20.704961
123;ITAÚBA;551.86326
124;DONA FRANCISCA;318.094832
125;CASTRO ALVES;91.6701952
126;MONTE CLARO;11.35
127;14 DE JULHO;54.101881
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;48.0536
130;ROSAL;16.9958
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.8
133;CANDONGA;54.44
134;BAGUARI;38.07
135;AIMORÉS;184.628587
136;MASCARENHAS;24.43
137;SALTO GRANDE;78
138;PORTO ESTRELA;68.77056
139;SANTA CLARA - MG;146
140;IRAPÉ;3729.055596
141;ITAPEBI;1599.128182
142;PEDRA DO CAVALO;113.5157
143;RETIRO BAIXO;241.585913
144;QUEIMADO;276.302175
145;BOA ESPERANÇA;3785.9872
146;CANA BRAVA;2253.862
147;SÃO SALVADOR;922.746563
148;PEIXE ANGICAL;2519.855522
149;DARDANELOS;0.12
150;RONDON II;367.13238
151;GUAPORÉ;22.63
152;SAMUEL;2080.878681
153;BALBINA;12270.03852
154;SANTO ANTÔNIO JARI;108.066478
155;SINOP;2741.792
156;COLÍDER;1485.992
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;289.08468
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;138.754308
161;FERREIRA GOMES;137.303236
162;FONTES BC;37.2
</END>;;
