<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
1;g1;0.0;1;FALSE;FALSE;24;
2;g2;1199.0066164079078;1;FALSE;FALSE;24;
3;g3;0.0;1;FALSE;FALSE;24;
4;g4;0.0;0;FALSE;FALSE;24;
5;g5;0.0;0;FALSE;FALSE;24;
6;g6;0.0;0;FALSE;FALSE;24;
7;g7;0.0;0;FALSE;FALSE;24;
8;g8;0.0;1;FALSE;FALSE;24;
9;g9;0.0;1;FALSE;FALSE;24;
10;g10;0.0;1;FALSE;FALSE;24;
11;g11;0.0;0;FALSE;FALSE;24;
12;g12;0.0;0;FALSE;FALSE;24;
13;g13;0.0;1;FALSE;FALSE;24;
14;g14;0.0;0;FALSE;FALSE;24;
15;g15;0.0;1;FALSE;FALSE;24;
16;g16;0.0;0;FALSE;FALSE;24;
17;g17;0.0;1;FALSE;FALSE;24;
18;g18;0.0;0;FALSE;FALSE;24;
19;g19;0.0;1;FALSE;FALSE;24;
20;g20;0.0;0;FALSE;FALSE;24;
21;g21;0.0;1;FALSE;FALSE;24;
22;g22;0.0;1;FALSE;FALSE;24;
23;g23;0.0;0;FALSE;FALSE;24;
24;g24;0.0;0;FALSE;FALSE;24;
25;g25;0.0;0;FALSE;FALSE;24;
26;g26;0.0;0;FALSE;FALSE;24;
27;g27;0.0;1;FALSE;FALSE;24;
28;g28;0.0;1;FALSE;FALSE;24;
29;g29;1971.4765142488918;1;FALSE;FALSE;24;
30;g30;0.0;0;FALSE;FALSE;24;
31;g31;0.0;0;FALSE;FALSE;24;
32;g32;0.0;1;FALSE;FALSE;24;
33;g33;0.0;0;FALSE;FALSE;24;
34;g34;0.0;0;FALSE;FALSE;24;
35;g35;0.0;1;FALSE;FALSE;24;
36;g36;0.0;0;FALSE;FALSE;24;
37;g37;0.0;1;FALSE;FALSE;24;
38;g38;0.0;1;FALSE;FALSE;24;
39;g39;0.0;1;FALSE;FALSE;24;
40;g40;1985.126632089708;1;FALSE;FALSE;24;
41;g41;0.0;0;FALSE;FALSE;24;
42;g42;0.0;0;FALSE;FALSE;24;
43;g43;1600.0;1;FALSE;FALSE;24;
44;g44;0.0;0;FALSE;FALSE;24;
45;g45;0.0;0;FALSE;FALSE;24;
46;g46;0.0;0;FALSE;FALSE;24;
47;g47;1797.4610692564268;1;FALSE;FALSE;24;
48;g48;0.0;0;FALSE;FALSE;24;
49;g49;0.0;1;FALSE;FALSE;24;
50;g50;0.0;1;FALSE;FALSE;24;
51;g51;0.0;1;FALSE;FALSE;24;
52;g52;0.0;0;FALSE;FALSE;24;
53;g53;0.0;0;FALSE;FALSE;24;
54;g54;1978.9046714009646;1;FALSE;FALSE;24;
55;g55;0.0;0;FALSE;FALSE;24;
56;g56;0.0;0;FALSE;FALSE;24;
57;g57;0.0;1;FALSE;FALSE;24;
58;g58;0.0;0;FALSE;FALSE;24;
59;g59;0.0;1;FALSE;FALSE;24;
60;g60;2102.411633806379;1;FALSE;FALSE;24;
61;g61;0.0;0;FALSE;FALSE;24;
62;g62;0.0;1;FALSE;FALSE;24;
63;g63;0.0;1;FALSE;FALSE;24;
64;g64;0.0;0;FALSE;FALSE;24;
65;g65;0.0;1;FALSE;FALSE;24;
66;g66;0.0;0;FALSE;FALSE;24;
67;g67;0.0;0;FALSE;FALSE;24;
68;g68;0.0;1;FALSE;FALSE;24;
69;g69;0.0;0;FALSE;FALSE;24;
70;g70;0.0;0;FALSE;FALSE;24;
71;g71;0.0;1;FALSE;FALSE;24;
72;g72;0.0;1;FALSE;FALSE;24;
73;g73;0.0;1;FALSE;FALSE;24;
74;g74;0.0;1;FALSE;FALSE;24;
75;g75;0.0;1;FALSE;FALSE;24;
76;g76;0.0;1;FALSE;FALSE;24;
77;g77;0.0;0;FALSE;FALSE;24;
78;g78;0.0;1;FALSE;FALSE;24;
79;g79;0.0;0;FALSE;FALSE;24;
80;g80;0.0;1;FALSE;FALSE;24;
81;g81;0.0;0;FALSE;FALSE;24;
82;g82;0.0;0;FALSE;FALSE;24;
83;g83;0.0;0;FALSE;FALSE;24;
84;g84;0.0;1;FALSE;FALSE;24;
85;g85;0.0;0;FALSE;FALSE;24;
86;g86;0.0;1;FALSE;FALSE;24;
87;g87;0.0;1;FALSE;FALSE;24;
88;g88;0.0;1;FALSE;FALSE;24;
89;g89;0.0;1;FALSE;FALSE;24;
90;g90;0.0;0;FALSE;FALSE;24;
91;g91;0.0;0;FALSE;FALSE;24;
92;g92;0.0;1;FALSE;FALSE;24;
93;g93;0.0;0;FALSE;FALSE;24;
94;g94;0.0;0;FALSE;FALSE;24;
95;g95;0.0;0;FALSE;FALSE;24;
96;g96;0.0;1;FALSE;FALSE;24;
97;g97;0.0;0;FALSE;FALSE;24;
98;g98;0.0;1;FALSE;FALSE;24;
99;g99;0.0;0;FALSE;FALSE;24;
100;g100;0.0;0;FALSE;FALSE;24;
101;g101;0.0;0;FALSE;FALSE;24;
102;g102;0.0;0;FALSE;FALSE;24;
103;g103;0.0;1;FALSE;FALSE;24;
104;g104;0.0;0;FALSE;FALSE;24;
105;g105;0.0;0;FALSE;FALSE;24;
106;g106;0.0;0;FALSE;FALSE;24;
107;g107;0.0;0;FALSE;FALSE;24;
108;g108;0.0;0;FALSE;FALSE;24;
109;g109;0.0;1;FALSE;FALSE;24;
110;g110;0.0;0;FALSE;FALSE;24;
111;g111;0.0;0;FALSE;FALSE;24;
112;g112;0.0;0;FALSE;FALSE;24;
113;g113;0.0;0;FALSE;FALSE;24;
114;g114;0.0;0;FALSE;FALSE;24;
115;g115;0.0;0;FALSE;FALSE;24;
116;g116;0.0;0;FALSE;FALSE;24;
117;g117;0.0;0;FALSE;FALSE;24;
118;g118;0.0;0;FALSE;FALSE;24;
119;g119;0.0;1;FALSE;FALSE;24;
120;g120;0.0;0;FALSE;FALSE;24;
121;g121;0.0;0;FALSE;FALSE;24;
122;g122;0.0;0;FALSE;FALSE;24;
123;g123;0.0;0;FALSE;FALSE;24;
124;g124;0.0;1;FALSE;FALSE;24;
125;g125;0.0;0;FALSE;FALSE;24;
126;g126;0.0;1;FALSE;FALSE;24;
127;g127;0.0;0;FALSE;FALSE;24;
128;g128;1179.2218177960021;1;FALSE;FALSE;24;
129;g129;0.0;0;FALSE;FALSE;24;
130;g130;0.0;0;FALSE;FALSE;24;
131;g131;0.0;1;FALSE;FALSE;24;
132;g132;1977.1044632352168;1;FALSE;FALSE;24;
133;g133;0.0;0;FALSE;FALSE;24;
134;g134;1976.5073529759393;1;FALSE;FALSE;24;
135;g135;0.0;0;FALSE;FALSE;24;
136;g136;0.0;1;FALSE;FALSE;24;
137;g137;0.0;0;FALSE;FALSE;24;
138;g138;0.0;0;FALSE;FALSE;24;
139;g139;0.0;1;FALSE;FALSE;24;
140;g140;0.0;0;FALSE;FALSE;24;
141;g141;0.0;0;FALSE;FALSE;24;
142;g142;0.0;0;FALSE;FALSE;24;
143;g143;0.0;0;FALSE;FALSE;24;
144;g144;0.0;1;FALSE;FALSE;24;
145;g145;0.0;0;FALSE;FALSE;24;
146;g146;0.0;0;FALSE;FALSE;24;
147;g147;2360.029671335935;1;FALSE;FALSE;24;
148;g148;0.0;0;FALSE;FALSE;24;
149;g149;0.0;0;FALSE;FALSE;24;
150;g150;1700.0;1;FALSE;FALSE;24;
151;g151;0.0;0;FALSE;FALSE;24;
152;g152;0.0;1;FALSE;FALSE;24;
153;g153;0.0;0;FALSE;FALSE;24;
154;g154;0.0;0;FALSE;FALSE;24;
155;g155;0.0;0;FALSE;FALSE;24;
156;g156;1984.957674696454;1;FALSE;FALSE;24;
157;g157;0.0;1;FALSE;FALSE;24;
158;g158;0.0;0;FALSE;FALSE;24;
159;g159;0.0;0;FALSE;FALSE;24;
160;g160;1979.7477184060053;1;FALSE;FALSE;24;
161;g161;1600.0;1;FALSE;FALSE;24;
162;g162;0.0;1;FALSE;FALSE;24;
163;g163;0.0;0;FALSE;FALSE;24;
164;g164;0.0;1;FALSE;FALSE;24;
165;g165;0.0;1;FALSE;FALSE;24;
166;g166;0.0;0;FALSE;FALSE;24;
167;g167;0.0;0;FALSE;FALSE;24;
168;g168;0.0;1;FALSE;FALSE;24;
169;g169;0.0;0;FALSE;FALSE;24;
170;g170;0.0;0;FALSE;FALSE;24;
171;g171;0.0;0;FALSE;FALSE;24;
172;g172;0.0;0;FALSE;FALSE;24;
173;g173;0.0;0;FALSE;FALSE;24;
174;g174;0.0;0;FALSE;FALSE;24;
175;g175;0.0;1;FALSE;FALSE;24;
176;g176;0.0;1;FALSE;FALSE;24;
177;g177;1195.1542838223318;1;FALSE;FALSE;24;
178;g178;0.0;0;FALSE;FALSE;24;
179;g179;0.0;0;FALSE;FALSE;24;
180;g180;0.0;0;FALSE;FALSE;24;
181;g181;0.0;1;FALSE;FALSE;24;
182;g182;0.0;0;FALSE;FALSE;24;
183;g183;0.0;0;FALSE;FALSE;24;
184;g184;0.0;0;FALSE;FALSE;24;
185;g185;0.0;0;FALSE;FALSE;24;
186;g186;0.0;0;FALSE;FALSE;24;
187;g187;0.0;0;FALSE;FALSE;24;
188;g188;0.0;0;FALSE;FALSE;24;
189;g189;0.0;0;FALSE;FALSE;24;
190;g190;0.0;0;FALSE;FALSE;24;
191;g191;0.0;0;FALSE;FALSE;24;
192;g192;0.0;1;FALSE;FALSE;24;
193;g193;0.0;1;FALSE;FALSE;24;
194;g194;0.0;0;FALSE;FALSE;24;
195;g195;0.0;0;FALSE;FALSE;24;
196;g196;0.0;0;FALSE;FALSE;24;
197;g197;0.0;0;FALSE;FALSE;24;
198;g198;0.0;0;FALSE;FALSE;24;
199;g199;1987.0339612124876;1;FALSE;FALSE;24;
200;g200;0.0;0;FALSE;FALSE;24;
201;g201;0.0;0;FALSE;FALSE;24;
202;g202;0.0;0;FALSE;FALSE;24;
203;g203;1198.7537756761426;1;FALSE;FALSE;24;
204;g204;0.0;0;FALSE;FALSE;24;
205;g205;0.0;0;FALSE;FALSE;24;
206;g206;0.0;1;FALSE;FALSE;24;
207;g207;0.0;1;FALSE;FALSE;24;
208;g208;0.0;1;FALSE;FALSE;24;
209;g209;0.0;1;FALSE;FALSE;24;
210;g210;0.0;1;FALSE;FALSE;24;
211;g211;0.0;0;FALSE;FALSE;24;
212;g212;0.0;0;FALSE;FALSE;24;
213;g213;0.0;1;FALSE;FALSE;24;
214;g214;0.0;1;FALSE;FALSE;24;
