<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;27695.19
2;TUCURUI;36202.498
3;BELO MONTE;2245.167934
4;JIRAU;1249.83
5;STO ANTONIO;2180.05
6;I. SOLTEIRA;19038.2034
7;XINGO;3760.4254
8;P.AFONSO 4;116.5909
9;ITUMBIARA;8215.795
10;TELES PIRES;897.22
11;SAO SIMAO;10636.456
12;G.B. MUNHOZ;3339.995
13;JUPIA;3207.794375
14;P. PRIMAVERA;16025.37295
15;MARIMBONDO;1804.188
16;ITAPARICA;9882.2272
17;ITA;4726.625555
18;SLT.SANTIAGO;4692.9994
19;P.AFONSO 123;25.13368
20;A. VERMELHA;7191.1527
21;FURNAS;12993.4089
22;SERRA MESA;25738.225
23;SEGREDO;2806.1684
24;SALTO CAXIAS;3346.805616
25;EMBORCACAO;8403.016
26;MACHADINHO;2849.552
27;LC BARRETO;1285.65383
28;ESTREITO TOC;5100.336048
29;SALTO OSORIO;1083.241932
30;SOBRADINHO;25736.0513
31;LAJEADO;4928.514159
32;CAMPOS NOVOS;1382.5802
33;TRES IRMAOS;11953.7712
34;BARRA GRANDE;3825.003482
35;CACH.DOURADA;502.157025
36;MOXOTO;1123.792
37;TRES MARIAS;15225.7152
38;PIMENTAL;2276.29
39;CHAVANTES;7077.7473
40;ROSANA;1825.24594
41;TAQUARUCU;674.771863
42;CAPIVARA;8112.4516
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;531.8365
47;LAJES;267.214
48;PARAIBUNA;2908.4152
49;SANTA BRANCA;223.7388
50;JAGUARI;714.7611
51;SANTA CECÍLIA;6
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;7.5885
58;CORUMBÁ IV;3141.17528
59;CORUMBÁ III;851.3619
60;CORUMBÁ I;862.018
61;BATALHA;993.920832
62;SERRA DO FACÃO;3140.1069
63;NOVA PONTE;6152.952
64;MIRANDA;1108.4976
65;AMADOR AGUIAR I;236.51326
66;AMADOR AGUIAR II;866.99428
67;ESPORA;127.652885
68;SALTO;1119.034472
69;SALTO DO RIO VERDINHO;394.3
70;CAÇU;219.69845
71;BARRA DOS COQUEIROS;339.855792
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;513.456
74;ITUTINGA;11.21
75;FUNIL - GRANDE;267.518968
76;MASCARENHAS DE MORAES;2731.25
77;JAGUARA;392.958
78;IGARAPAVA;241.84
79;VOLTA GRANDE;2137.2824
80;PORTO COLÔMBIA;1382.4853
81;CACONDE;318.401381
82;E. DA CUNHA;13.34
83;A. S. OLIVEIRA;22.526576
84;SÃO DOMINGOS;112.31
85;GUARAPIRANGA;114.284
86;BILLINGS;679.982
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;2419.5992
92;BARIRI;537.554952
93;IBITINGA;970.36875
94;PROMISSÃO;6040.29702
95;N.AVANHANDAVA;2695.5956
96;HENRY BORDEN;1
97;JURUMIRIM;4901.148928
98;PIRAJU;114.031872
99;OURINHOS;22.34
100;L. N. GARCEZ;37.679672
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1805.3984
104;SANTA CLARA - PR;314.2004
105;FUNDÃO;30.6
106;JORDÃO;110
107;BAIXO IGUAÇU;206.058888
108;MANSO;5594.4345
109;ITIQUIRA I;5
110;ITIQUIRA II;1
111;PONTE PEDRA;84.63792
112;JAURU;17.15
113;PASSO FUNDO;1171.721752
114;MONJOLINHO;141.93619
115;GARIBALDI;263.207328
116;QUEBRA-QUEIXO;124.397955
117;SÃO JOSÉ;165.53
118;PASSO S. JOÃO;101.19235
119;FOZ DO CHAPECÓ;1463.352627
120;ERNESTINA;163.5
121;PASSO REAL;2968.9668
122;JACUÍ;22.07324
123;ITAÚBA;581.54158
124;DONA FRANCISCA;313.934592
125;CASTRO ALVES;91.763697
126;MONTE CLARO;11.35
127;14 DE JULHO;55.18
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;73.076
130;ROSAL;17
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.8
133;CANDONGA;19.4
134;BAGUARI;35.72787
135;AIMORÉS;184.65
136;MASCARENHAS;17.812
137;SALTO GRANDE;78
138;PORTO ESTRELA;81.011712
139;SANTA CLARA - MG;146
140;IRAPÉ;4351.287341
141;ITAPEBI;1623.951597
142;PEDRA DO CAVALO;114.5
143;RETIRO BAIXO;200.952959
144;QUEIMADO;323.954775
145;BOA ESPERANÇA;4194.964
146;CANA BRAVA;2221.6827
147;SÃO SALVADOR;941.502599
148;PEIXE ANGICAL;2518.7492
149;DARDANELOS;0.12
150;RONDON II;291.081684
151;GUAPORÉ;22.59843
152;SAMUEL;1961.783874
153;BALBINA;14133.31044
154;SANTO ANTÔNIO JARI;133.39
155;SINOP;1224.04464
156;COLÍDER;1512.702728
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;575.97872
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;129.638754
161;FERREIRA GOMES;120.4
162;FONTES BC;37.2
</END>;;
